invoice_id,invoice_date,po_number,supplier_id,product_id,invoiced_qty,unit_price,invoice_amount,currency,erp_supplier_name_raw
INV-2025-1053,2025-09-10,PO-77873-PT,SUP-004,PRD-009,2500,45.00,112500.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1054,2026-03-06,PO-77874-PT,SUP-005,PRD-010,3000,28.00,84000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1055,2026-04-22,PO-77875-PT,SUP-006,PRD-011,2500,3.00,7500.00,USD,CV Mitra Teknik Bersama
INV-2025-1056,2025-08-07,PO-77876-PT,SUP-007,PRD-012,2500,6.00,15000.00,USD,PT Surya Cipta Metalindo
INV-2025-1057,2026-01-05,PO-77877-PT,SUP-008,PRD-013,10000,4.00,40000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1058,2025-10-21,PO-77878-PT,SUP-009,PRD-014,10000,0.15,1500.00,USD,PT Waskita Beton Precast
INV-2025-1059,2026-05-08,PO-77879-PT,SUP-010,PRD-015,10000,18.00,180000.00,USD,CV Delta Prima Energi
INV-2025-1060,2026-01-29,PO-77880-PT,SUP-001,PRD-001,950,5.50,5225.00,USD,PT Steelindo Utama Tbk
INV-2025-1061,2026-05-15,PO-77881-PT,SUP-002,PRD-002,5000,12.00,60000.00,USD,CV Bina Karya Metal
INV-2025-1062,2026-03-27,PO-77882-PT,SUP-003,PRD-003,3000,8.00,24000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1063,2025-11-10,PO-77883-PT,SUP-004,PRD-004,2000,35.00,70000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1064,2026-05-25,PO-77884-PT,SUP-005,PRD-005,5000,22.00,110000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1065,2025-12-03,PO-77885-PT,SUP-006,PRD-006,5000,15.00,75000.00,USD,CV Mitra Teknik Bersama
INV-2025-1066,2025-08-28,PO-77886-PT,SUP-007,PRD-007,3000,2.50,7500.00,USD,PT Surya Cipta Metalindo
INV-2025-1067,2026-04-05,PO-77887-PT,SUP-008,PRD-008,5000,7.50,37500.00,USD,PT Cakra Sentosa Abadi
INV-2025-1068,2026-02-19,PO-77888-PT,SUP-009,PRD-009,1500,45.00,67500.00,USD,PT Waskita Beton Precast
INV-2025-1069,2026-04-16,PO-77889-PT,SUP-010,PRD-010,500,28.00,14000.00,USD,CV Delta Prima Energi
INV-2025-1070,2025-10-09,PO-77890-PT,SUP-001,PRD-011,3000,3.00,9000.00,USD,PT Steelindo Utama Tbk
INV-2025-1071,2025-09-26,PO-77891-PT,SUP-002,PRD-012,10000,6.00,60000.00,USD,CV Bina Karya Metal
INV-2025-1072,2025-09-26,PO-77892-PT,SUP-003,PRD-013,10000,4.00,40000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1073,2025-08-13,PO-77893-PT,SUP-004,PRD-014,1500,0.15,225.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1074,2026-03-03,PO-77894-PT,SUP-005,PRD-015,1500,18.00,27000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1075,2025-09-13,PO-77895-PT,SUP-006,PRD-001,10000,5.50,55000.00,USD,CV Mitra Teknik Bersama
INV-2025-1076,2025-12-19,PO-77896-PT,SUP-007,PRD-002,3000,12.00,36000.00,USD,PT Surya Cipta Metalindo
INV-2025-1077,2026-06-21,PO-77897-PT,SUP-008,PRD-003,5000,8.00,40000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1078,2026-07-04,PO-77898-PT,SUP-009,PRD-004,1000,35.00,35000.00,USD,PT Waskita Beton Precast
INV-2025-1079,2026-01-21,PO-77899-PT,SUP-010,PRD-005,5000,22.00,110000.00,USD,CV Delta Prima Energi
INV-2025-1080,2026-01-15,PO-77900-PT,SUP-001,PRD-006,1425,15.00,21375.00,USD,PT Steelindo Utama Tbk
INV-2025-1081,2026-04-12,PO-77901-PT,SUP-002,PRD-007,500,2.50,1250.00,USD,CV Bina Karya Metal
INV-2025-1082,2026-06-18,PO-77902-PT,SUP-003,PRD-008,1000,7.50,7500.00,USD,PT Indo Primatama Sejahtera
INV-2025-1083,2025-12-04,PO-77903-PT,SUP-004,PRD-009,2500,45.00,112500.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1084,2025-11-30,PO-77904-PT,SUP-005,PRD-010,1000,28.00,28000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1085,2026-03-16,PO-77905-PT,SUP-006,PRD-011,1000,3.00,3000.00,USD,CV Mitra Teknik Bersama
INV-2025-1086,2026-06-26,PO-77906-PT,SUP-007,PRD-012,1000,6.00,6000.00,USD,PT Surya Cipta Metalindo
INV-2025-1087,2026-03-21,PO-77907-PT,SUP-008,PRD-013,1500,4.00,6000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1088,2026-07-27,PO-77908-PT,SUP-009,PRD-014,2500,0.15,375.00,USD,PT Waskita Beton Precast
INV-2025-1089,2025-08-20,PO-77909-PT,SUP-010,PRD-015,500,18.00,9000.00,USD,CV Delta Prima Energi
INV-2025-1090,2026-01-19,PO-77910-PT,SUP-001,PRD-001,500,5.50,2750.00,USD,PT Steelindo Utama Tbk
INV-2025-1091,2026-01-03,PO-77911-PT,SUP-002,PRD-002,3000,12.00,36000.00,USD,CV Bina Karya Metal
INV-2025-1092,2026-02-13,PO-77912-PT,SUP-003,PRD-003,5000,8.00,40000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1093,2025-10-19,PO-77913-PT,SUP-004,PRD-004,2000,35.00,70000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1094,2026-05-04,PO-77914-PT,SUP-005,PRD-005,5000,22.00,110000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1095,2026-05-22,PO-77915-PT,SUP-006,PRD-006,1500,15.00,22500.00,USD,CV Mitra Teknik Bersama
INV-2025-1096,2025-11-01,PO-77916-PT,SUP-007,PRD-007,1500,2.50,3750.00,USD,PT Surya Cipta Metalindo
INV-2025-1097,2025-09-15,PO-77917-PT,SUP-008,PRD-008,5000,7.50,37500.00,USD,PT Cakra Sentosa Abadi
INV-2025-1098,2026-06-19,PO-77918-PT,SUP-009,PRD-009,2000,45.00,90000.00,USD,PT Waskita Beton Precast
INV-2025-1099,2026-04-17,PO-77919-PT,SUP-010,PRD-010,1500,28.00,42000.00,USD,CV Delta Prima Energi
INV-2025-1100,2025-12-02,PO-77920-PT,SUP-001,PRD-011,950,3.00,2850.00,USD,PT Steelindo Utama Tbk
INV-2025-1101,2026-06-28,PO-77921-PT,SUP-002,PRD-012,2500,6.00,15000.00,USD,CV Bina Karya Metal
INV-2025-1102,2026-03-29,PO-77922-PT,SUP-003,PRD-013,2500,4.00,10000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1103,2026-07-13,PO-77923-PT,SUP-004,PRD-014,500,0.15,75.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1104,2026-04-01,PO-77924-PT,SUP-005,PRD-015,2500,18.00,45000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1105,2026-07-18,PO-77925-PT,SUP-006,PRD-001,1500,5.50,8250.00,USD,CV Mitra Teknik Bersama
INV-2025-1106,2025-09-12,PO-77926-PT,SUP-007,PRD-002,10000,12.00,120000.00,USD,PT Surya Cipta Metalindo
INV-2025-1107,2026-01-29,PO-77927-PT,SUP-008,PRD-003,2500,8.00,20000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1108,2026-06-29,PO-77928-PT,SUP-009,PRD-004,5000,35.00,175000.00,USD,PT Waskita Beton Precast
INV-2025-1109,2026-07-25,PO-77929-PT,SUP-010,PRD-005,2500,22.00,55000.00,USD,CV Delta Prima Energi
INV-2025-1110,2026-03-27,PO-77930-PT,SUP-001,PRD-006,2500,15.00,37500.00,USD,PT Steelindo Utama Tbk
INV-2025-1111,2025-11-15,PO-77931-PT,SUP-002,PRD-007,5000,2.50,12500.00,USD,CV Bina Karya Metal
INV-2025-1112,2026-04-10,PO-77932-PT,SUP-003,PRD-008,1000,7.50,7500.00,USD,PT Indo Primatama Sejahtera
INV-2025-1113,2025-12-05,PO-77933-PT,SUP-004,PRD-009,5000,45.00,225000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1114,2026-05-25,PO-77934-PT,SUP-005,PRD-010,3000,28.00,84000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1115,2026-05-27,PO-77935-PT,SUP-006,PRD-011,2500,3.00,7500.00,USD,CV Mitra Teknik Bersama
INV-2025-1116,2026-07-30,PO-77936-PT,SUP-007,PRD-012,2500,6.00,15000.00,USD,PT Surya Cipta Metalindo
INV-2025-1117,2025-08-17,PO-77937-PT,SUP-008,PRD-013,5000,4.00,20000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1118,2025-12-24,PO-77938-PT,SUP-009,PRD-014,500,0.15,75.00,USD,PT Waskita Beton Precast
INV-2025-1119,2026-05-22,PO-77939-PT,SUP-010,PRD-015,500,18.00,9000.00,USD,CV Delta Prima Energi
INV-2025-1120,2026-06-12,PO-77940-PT,SUP-001,PRD-001,1425,5.50,7837.50,USD,PT Steelindo Utama Tbk
INV-2025-1121,2026-04-17,PO-77941-PT,SUP-002,PRD-002,2500,12.00,30000.00,USD,CV Bina Karya Metal
INV-2025-1122,2025-12-01,PO-77942-PT,SUP-003,PRD-003,3000,8.00,24000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1123,2025-11-26,PO-77943-PT,SUP-004,PRD-004,2000,35.00,70000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1124,2026-06-19,PO-77944-PT,SUP-005,PRD-005,2500,22.00,55000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1125,2026-07-19,PO-77945-PT,SUP-006,PRD-006,1500,15.00,22500.00,USD,CV Mitra Teknik Bersama
INV-2025-1126,2026-06-23,PO-77946-PT,SUP-007,PRD-007,1000,2.50,2500.00,USD,PT Surya Cipta Metalindo
INV-2025-1127,2026-06-23,PO-77947-PT,SUP-008,PRD-008,500,7.50,3750.00,USD,PT Cakra Sentosa Abadi
INV-2025-1128,2026-01-11,PO-77948-PT,SUP-009,PRD-009,10000,45.00,450000.00,USD,PT Waskita Beton Precast
INV-2025-1129,2025-08-23,PO-77949-PT,SUP-010,PRD-010,3000,28.00,84000.00,USD,CV Delta Prima Energi
INV-2025-1130,2025-10-12,PO-77950-PT,SUP-001,PRD-011,1000,3.00,3000.00,USD,PT Steelindo Utama Tbk
INV-2025-1131,2026-01-04,PO-77951-PT,SUP-002,PRD-012,3000,6.00,18000.00,USD,CV Bina Karya Metal
INV-2025-1132,2026-03-06,PO-77952-PT,SUP-003,PRD-013,1500,4.00,6000.00,USD,PT Indo Primatama Sejahtera
INV-2025-1133,2025-11-16,PO-77953-PT,SUP-004,PRD-014,1500,0.15,225.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1134,2026-05-09,PO-77954-PT,SUP-005,PRD-015,3000,18.00,54000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1135,2026-05-04,PO-77955-PT,SUP-006,PRD-001,2500,5.50,13750.00,USD,CV Mitra Teknik Bersama
INV-2025-1136,2025-10-29,PO-77956-PT,SUP-007,PRD-002,2500,12.00,30000.00,USD,PT Surya Cipta Metalindo
INV-2025-1137,2026-04-09,PO-77957-PT,SUP-008,PRD-003,2500,8.00,20000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1138,2026-01-26,PO-77958-PT,SUP-009,PRD-004,1000,35.00,35000.00,USD,PT Waskita Beton Precast
INV-2025-1139,2026-04-02,PO-77959-PT,SUP-010,PRD-005,1000,22.00,22000.00,USD,CV Delta Prima Energi
INV-2025-1140,2025-10-17,PO-77960-PT,SUP-001,PRD-006,475,15.00,7125.00,USD,PT Steelindo Utama Tbk
INV-2025-1141,2026-07-18,PO-77961-PT,SUP-002,PRD-007,5000,2.50,12500.00,USD,CV Bina Karya Metal
INV-2025-1142,2026-05-18,PO-77962-PT,SUP-003,PRD-008,3000,7.50,22500.00,USD,PT Indo Primatama Sejahtera
INV-2025-1143,2025-09-21,PO-77963-PT,SUP-004,PRD-009,5000,45.00,225000.00,USD,PT Gajah Tunggal Indonesia
INV-2025-1144,2025-08-13,PO-77964-PT,SUP-005,PRD-010,2500,28.00,70000.00,USD,PT Astra Otoparts Nusantara
INV-2025-1145,2026-05-07,PO-77965-PT,SUP-006,PRD-011,1000,3.00,3000.00,USD,CV Mitra Teknik Bersama
INV-2025-1146,2026-03-26,PO-77966-PT,SUP-007,PRD-012,3000,6.00,18000.00,USD,PT Surya Cipta Metalindo
INV-2025-1147,2026-07-16,PO-77967-PT,SUP-008,PRD-013,2500,4.00,10000.00,USD,PT Cakra Sentosa Abadi
INV-2025-1148,2026-06-01,PO-77968-PT,SUP-009,PRD-014,5000,0.15,750.00,USD,PT Waskita Beton Precast
INV-2025-1149,2026-06-28,PO-77969-PT,SUP-010,PRD-015,3000,18.00,54000.00,USD,CV Delta Prima Energi
