production_order_id,plant_id,line_id,product_id,planned_qty,actual_qty,planned_start,planned_end,actual_start,actual_end,downtime_hours,downtime_reason
PROD-2025014,PLT-KRW-02,Line 2,PRD-003,1200,1200,2025-11-24,2025-12-02,2025-11-25,2025-12-02,0,
PROD-2025015,PLT-KRW-02,Line 1,PRD-005,1000,832,2025-10-04,2025-10-17,2025-10-04,2025-10-19,24,power outage
PROD-2025016,PLT-SBY-01,Line 5,PRD-011,1000,1000,2026-05-25,2026-05-30,2026-05-25,2026-05-30,0,
PROD-2025017,PLT-KRW-02,Line 5,PRD-001,3000,3000,2025-08-15,2025-08-19,2025-08-15,2025-08-19,0,
PROD-2025018,PLT-KRW-02,Line 2,PRD-013,2000,2000,2026-03-02,2026-03-14,2026-03-02,2026-03-14,0,
PROD-2025019,PLT-KRW-02,Line 5,PRD-005,2500,2500,2026-01-02,2026-01-12,2026-01-02,2026-01-12,0,
PROD-2025020,PLT-KRW-02,Line 3,PRD-008,800,753,2026-03-01,2026-03-11,2026-03-01,2026-03-12,2,machine breakdown — conveyor belt
PROD-2025021,PLT-KRW-02,Line 5,PRD-003,1200,1200,2026-01-11,2026-01-25,2026-01-12,2026-01-25,0,
PROD-2025022,PLT-KRW-02,Line 4,PRD-003,3000,3000,2026-02-06,2026-02-17,2026-02-06,2026-02-17,0,
PROD-2025023,PLT-KRW-02,Line 2,PRD-008,800,800,2025-12-15,2025-12-25,2025-12-15,2025-12-25,0,
PROD-2025024,PLT-SBY-01,Line 1,PRD-005,1500,1500,2026-03-03,2026-03-09,2026-03-04,2026-03-09,0,
PROD-2025025,PLT-SBY-01,Line 3,PRD-015,2000,2000,2026-01-08,2026-01-14,2026-01-08,2026-01-14,0,
PROD-2025026,PLT-KRW-02,Line 5,PRD-008,1500,1500,2026-01-05,2026-01-15,2026-01-05,2026-01-15,0,
PROD-2025027,PLT-KRW-02,Line 5,PRD-008,1000,1000,2025-11-19,2025-12-01,2025-11-19,2025-12-01,0,
PROD-2025028,PLT-SBY-01,Line 3,PRD-008,2000,2000,2026-03-29,2026-04-05,2026-03-29,2026-04-05,0,
PROD-2025029,PLT-SBY-01,Line 4,PRD-003,1200,1200,2026-02-04,2026-02-13,2026-02-04,2026-02-13,0,
PROD-2025030,PLT-KRW-02,Line 1,PRD-010,2000,1550,2025-09-07,2025-09-16,2025-09-07,2025-09-18,24,power outage
PROD-2025031,PLT-KRW-02,Line 5,PRD-011,2000,2000,2025-09-30,2025-10-05,2025-10-01,2025-10-05,0,
PROD-2025032,PLT-KRW-02,Line 3,PRD-013,1200,1200,2026-05-13,2026-05-21,2026-05-13,2026-05-21,0,
PROD-2025033,PLT-SBY-01,Line 5,PRD-009,1500,1500,2026-04-14,2026-04-17,2026-04-14,2026-04-17,0,
PROD-2025034,PLT-SBY-01,Line 3,PRD-013,1500,1500,2026-04-23,2026-05-03,2026-04-23,2026-05-03,0,
PROD-2025035,PLT-SBY-01,Line 3,PRD-015,2000,2000,2026-01-11,2026-01-16,2026-01-11,2026-01-16,0,
PROD-2025036,PLT-KRW-02,Line 5,PRD-006,2000,2000,2026-04-18,2026-04-29,2026-04-18,2026-04-29,0,
PROD-2025037,PLT-KRW-02,Line 4,PRD-014,800,800,2026-02-05,2026-02-13,2026-02-05,2026-02-13,0,
PROD-2025038,PLT-KRW-02,Line 5,PRD-005,3000,3000,2025-08-14,2025-08-26,2025-08-14,2025-08-26,0,
PROD-2025039,PLT-SBY-01,Line 1,PRD-010,1500,1500,2025-10-27,2025-11-07,2025-10-27,2025-11-07,0,
PROD-2025040,PLT-KRW-02,Line 2,PRD-014,2500,2286,2025-09-26,2025-10-02,2025-09-26,2025-10-03,6,quality inspection hold
PROD-2025041,PLT-KRW-02,Line 4,PRD-003,1500,1500,2025-11-13,2025-11-22,2025-11-13,2025-11-22,0,
PROD-2025042,PLT-KRW-02,Line 1,PRD-012,1000,1000,2026-04-23,2026-04-29,2026-04-23,2026-04-29,0,
PROD-2025043,PLT-KRW-02,Line 5,PRD-007,1200,1200,2025-10-28,2025-11-07,2025-10-29,2025-11-07,0,
PROD-2025044,PLT-KRW-02,Line 5,PRD-006,2500,2500,2025-12-14,2025-12-26,2025-12-14,2025-12-26,0,
PROD-2025045,PLT-SBY-01,Line 3,PRD-009,1200,935,2025-11-15,2025-11-29,2025-11-15,2025-11-30,14,power outage
PROD-2025046,PLT-KRW-02,Line 4,PRD-006,2000,2000,2025-12-19,2025-12-26,2025-12-19,2025-12-26,0,
PROD-2025047,PLT-KRW-02,Line 4,PRD-014,1200,1200,2025-10-14,2025-10-21,2025-10-14,2025-10-21,0,
PROD-2025048,PLT-SBY-01,Line 3,PRD-015,1500,1500,2025-12-10,2025-12-24,2025-12-10,2025-12-24,0,
PROD-2025049,PLT-SBY-01,Line 5,PRD-005,2000,2000,2025-12-18,2025-12-23,2025-12-18,2025-12-23,0,
PROD-2025050,PLT-SBY-01,Line 2,PRD-001,2500,2385,2025-11-28,2025-12-01,2025-11-28,2025-12-02,2,quality inspection hold
PROD-2025051,PLT-KRW-02,Line 4,PRD-002,2500,2500,2025-10-10,2025-10-13,2025-10-11,2025-10-13,0,
PROD-2025052,PLT-SBY-01,Line 4,PRD-011,1500,1500,2026-04-02,2026-04-15,2026-04-02,2026-04-15,0,
PROD-2025053,PLT-KRW-02,Line 3,PRD-005,2500,2500,2025-08-31,2025-09-04,2025-08-31,2025-09-04,0,
PROD-2025054,PLT-SBY-01,Line 5,PRD-012,2500,2500,2025-08-20,2025-08-25,2025-08-20,2025-08-25,0,
PROD-2025055,PLT-SBY-01,Line 1,PRD-014,1500,1500,2026-04-11,2026-04-16,2026-04-12,2026-04-16,0,
PROD-2025056,PLT-KRW-02,Line 1,PRD-001,1200,1200,2026-05-18,2026-05-30,2026-05-18,2026-05-30,0,
PROD-2025057,PLT-KRW-02,Line 3,PRD-008,2500,2500,2026-05-06,2026-05-17,2026-05-06,2026-05-17,0,
PROD-2025058,PLT-SBY-01,Line 5,PRD-008,1200,1200,2025-11-07,2025-11-11,2025-11-07,2025-11-11,0,
PROD-2025059,PLT-KRW-02,Line 3,PRD-012,1000,1000,2025-08-08,2025-08-22,2025-08-08,2025-08-22,0,
PROD-2025060,PLT-KRW-02,Line 5,PRD-011,3000,2325,2026-02-24,2026-03-05,2026-02-24,2026-03-07,24,sensor malfunction — pressure gauge
PROD-2025061,PLT-SBY-01,Line 4,PRD-011,800,800,2025-11-03,2025-11-08,2025-11-03,2025-11-08,0,
PROD-2025062,PLT-SBY-01,Line 1,PRD-005,1500,1500,2025-11-29,2025-12-09,2025-11-29,2025-12-09,0,
PROD-2025063,PLT-KRW-02,Line 3,PRD-010,2500,2500,2026-05-21,2026-05-24,2026-05-21,2026-05-24,0,
PROD-2025064,PLT-KRW-02,Line 2,PRD-001,2500,2500,2025-09-30,2025-10-10,2025-09-30,2025-10-10,0,
PROD-2025065,PLT-KRW-02,Line 5,PRD-015,2500,2500,2026-01-07,2026-01-21,2026-01-07,2026-01-21,0,
PROD-2025066,PLT-KRW-02,Line 3,PRD-010,1000,1000,2025-11-21,2025-11-26,2025-11-21,2025-11-26,0,
PROD-2025067,PLT-KRW-02,Line 5,PRD-006,1500,1500,2026-05-09,2026-05-19,2026-05-09,2026-05-19,0,
PROD-2025068,PLT-SBY-01,Line 2,PRD-011,3000,3000,2025-09-11,2025-09-22,2025-09-11,2025-09-22,0,
PROD-2025069,PLT-KRW-02,Line 1,PRD-015,2000,2000,2025-09-27,2025-09-30,2025-09-27,2025-09-30,0,
PROD-2025070,PLT-SBY-01,Line 5,PRD-009,1000,909,2025-09-29,2025-10-12,2025-09-29,2025-10-13,6,machine breakdown — conveyor belt
PROD-2025071,PLT-KRW-02,Line 1,PRD-015,2000,2000,2026-03-17,2026-03-20,2026-03-17,2026-03-20,0,
PROD-2025072,PLT-KRW-02,Line 4,PRD-010,800,800,2026-05-14,2026-05-24,2026-05-14,2026-05-24,0,
PROD-2025073,PLT-KRW-02,Line 1,PRD-007,1200,1200,2025-08-02,2025-08-16,2025-08-02,2025-08-16,0,
PROD-2025074,PLT-SBY-01,Line 1,PRD-007,1200,1200,2025-09-02,2025-09-13,2025-09-03,2025-09-13,0,
PROD-2025075,PLT-SBY-01,Line 4,PRD-001,1200,963,2026-03-04,2026-03-12,2026-03-05,2026-03-13,12,sensor malfunction — pressure gauge
PROD-2025076,PLT-KRW-02,Line 4,PRD-014,1500,1500,2026-02-09,2026-02-13,2026-02-09,2026-02-13,0,
PROD-2025077,PLT-SBY-01,Line 3,PRD-002,1000,1000,2026-05-03,2026-05-12,2026-05-03,2026-05-12,0,
PROD-2025078,PLT-SBY-01,Line 1,PRD-013,800,800,2025-12-31,2026-01-10,2025-12-31,2026-01-10,0,
PROD-2025079,PLT-KRW-02,Line 5,PRD-007,3000,3000,2025-11-26,2025-12-02,2025-11-26,2025-12-02,0,
