sku_id,period,actual_demand_qty,customer_segment
PRD-007,2026-06,3924,Wholesale
PRD-007,2026-07,3690,Wholesale
PRD-008,2025-08,1143,Aftermarket
PRD-008,2025-09,1083,Aftermarket
PRD-008,2025-10,1009,Aftermarket
PRD-008,2025-11,900,Aftermarket
PRD-008,2025-12,868,Aftermarket
PRD-008,2026-01,979,Aftermarket
PRD-008,2026-02,1076,Aftermarket
PRD-008,2026-03,1040,Aftermarket
PRD-008,2026-04,1122,Aftermarket
PRD-008,2026-05,1316,Aftermarket
PRD-008,2026-06,1236,Aftermarket
PRD-008,2026-07,1332,Aftermarket
PRD-009,2025-08,2983,Aftermarket
PRD-009,2025-09,3250,Aftermarket
PRD-009,2025-10,2920,Aftermarket
PRD-009,2025-11,2408,Aftermarket
PRD-009,2025-12,2296,Aftermarket
PRD-009,2026-01,3226,Aftermarket
PRD-009,2026-02,3129,Aftermarket
PRD-009,2026-03,3338,Aftermarket
PRD-009,2026-04,3278,Aftermarket
PRD-009,2026-05,3907,Aftermarket
PRD-009,2026-06,3545,Aftermarket
PRD-009,2026-07,3673,Aftermarket
PRD-010,2025-08,3179,Aftermarket
PRD-010,2025-09,2778,Aftermarket
PRD-010,2025-10,3072,Aftermarket
PRD-010,2025-11,2506,Aftermarket
PRD-010,2025-12,2344,Aftermarket
PRD-010,2026-01,2960,Aftermarket
PRD-010,2026-02,2939,Aftermarket
PRD-010,2026-03,3177,Aftermarket
PRD-010,2026-04,3422,Aftermarket
PRD-010,2026-05,4145,Aftermarket
PRD-010,2026-06,4003,Aftermarket
PRD-010,2026-07,4058,Aftermarket
PRD-011,2025-08,902,Retail
PRD-011,2025-09,952,Retail
PRD-011,2025-10,1073,Retail
PRD-011,2025-11,839,Retail
PRD-011,2025-12,932,Retail
PRD-011,2026-01,1080,Retail
PRD-011,2026-02,912,Retail
PRD-011,2026-03,1009,Retail
PRD-011,2026-04,1004,Retail
PRD-011,2026-05,1176,Retail
PRD-011,2026-06,1254,Retail
PRD-011,2026-07,1400,Retail
PRD-012,2025-08,925,Retail
PRD-012,2025-09,1019,Retail
PRD-012,2025-10,1116,Retail
PRD-012,2025-11,903,Retail
PRD-012,2025-12,911,Retail
PRD-012,2026-01,940,Retail
PRD-012,2026-02,918,Retail
PRD-012,2026-03,1111,Retail
PRD-012,2026-04,973,Retail
PRD-012,2026-05,1224,Retail
PRD-012,2026-06,1422,Retail
PRD-012,2026-07,1148,Retail
PRD-013,2025-08,752,Retail
PRD-013,2025-09,735,Retail
PRD-013,2025-10,908,Retail
PRD-013,2025-11,778,Retail
PRD-013,2025-12,669,Retail
PRD-013,2026-01,917,Retail
PRD-013,2026-02,898,Retail
PRD-013,2026-03,860,Retail
PRD-013,2026-04,806,Retail
PRD-013,2026-05,1063,Retail
PRD-013,2026-06,1051,Retail
PRD-013,2026-07,1008,Retail
PRD-014,2025-08,491,OEM
PRD-014,2025-09,571,OEM
PRD-014,2025-10,501,OEM
PRD-014,2025-11,441,OEM
PRD-014,2025-12,480,OEM
PRD-014,2026-01,517,OEM
PRD-014,2026-02,532,OEM
PRD-014,2026-03,487,OEM
PRD-014,2026-04,461,OEM
PRD-014,2026-05,623,OEM
PRD-014,2026-06,648,OEM
PRD-014,2026-07,639,OEM
PRD-015,2025-08,450,Wholesale
PRD-015,2025-09,460,Wholesale
PRD-015,2025-10,552,Wholesale
PRD-015,2025-11,448,Wholesale
PRD-015,2025-12,433,Wholesale
PRD-015,2026-01,462,Wholesale
PRD-015,2026-02,475,Wholesale
PRD-015,2026-03,529,Wholesale
PRD-015,2026-04,572,Wholesale
PRD-015,2026-05,636,Wholesale
PRD-015,2026-06,580,Wholesale
PRD-015,2026-07,685,Wholesale
