po_number,po_date,supplier_id,product_id,po_qty,unit_price,po_amount,plant_id,po_status
PO-77853-PT,2026-05-29,SUP-009,PRD-004,2000,35.00,70000.00,PLT-SBY-01,Closed
PO-77854-PT,2026-07-29,SUP-001,PRD-004,1000,35.00,35000.00,PLT-SBY-01,Closed
PO-77855-PT,2025-09-06,SUP-009,PRD-004,2500,35.00,87500.00,PLT-BKS-03,Closed
PO-77856-PT,2025-11-18,SUP-009,PRD-003,10000,8.00,80000.00,PLT-SBY-01,Closed
PO-77857-PT,2026-02-25,SUP-004,PRD-002,1000,12.00,12000.00,PLT-BKS-03,Closed
PO-77858-PT,2026-01-29,SUP-007,PRD-007,10000,2.50,25000.00,PLT-BKS-03,Open
PO-77859-PT,2026-07-11,SUP-002,PRD-001,5000,5.50,27500.00,PLT-BKS-03,Closed
PO-77860-PT,2025-09-25,SUP-004,PRD-004,2000,35.00,70000.00,PLT-BKS-03,Closed
PO-77861-PT,2025-10-11,SUP-007,PRD-003,2500,8.00,20000.00,PLT-KRW-02,Closed
PO-77862-PT,2025-09-08,SUP-008,PRD-013,1000,4.00,4000.00,PLT-SBY-01,Open
PO-77863-PT,2025-09-17,SUP-004,PRD-003,5000,8.00,40000.00,PLT-KRW-02,Closed
PO-77864-PT,2025-11-18,SUP-007,PRD-015,500,18.00,9000.00,PLT-SBY-01,Closed
PO-77865-PT,2025-08-02,SUP-007,PRD-005,10000,22.00,220000.00,PLT-KRW-02,Closed
PO-77866-PT,2026-07-23,SUP-009,PRD-011,10000,3.00,30000.00,PLT-SBY-01,Closed
PO-77867-PT,2025-12-30,SUP-004,PRD-001,500,5.50,2750.00,PLT-BKS-03,Closed
PO-77868-PT,2025-08-30,SUP-001,PRD-010,10000,28.00,280000.00,PLT-BKS-03,Closed
PO-77869-PT,2025-08-30,SUP-009,PRD-002,1500,12.00,18000.00,PLT-SBY-01,Closed
PO-77870-PT,2026-07-12,SUP-004,PRD-007,1000,2.50,2500.00,PLT-BKS-03,Closed
PO-77871-PT,2026-05-24,SUP-010,PRD-001,1000,5.50,5500.00,PLT-KRW-02,Closed
PO-77872-PT,2025-12-12,SUP-004,PRD-011,3000,3.00,9000.00,PLT-SBY-01,Open
PO-77873-PT,2026-02-19,SUP-003,PRD-011,2500,3.00,7500.00,PLT-KRW-02,Closed
PO-77874-PT,2025-09-07,SUP-001,PRD-008,1000,7.50,7500.00,PLT-SBY-01,Closed
PO-77875-PT,2026-04-17,SUP-005,PRD-003,3000,8.00,24000.00,PLT-SBY-01,Closed
PO-77876-PT,2026-02-06,SUP-005,PRD-003,10000,8.00,80000.00,PLT-BKS-03,Open
PO-77877-PT,2026-06-10,SUP-009,PRD-001,2500,5.50,13750.00,PLT-BKS-03,Closed
PO-77878-PT,2025-10-08,SUP-005,PRD-002,1000,12.00,12000.00,PLT-BKS-03,Closed
PO-77879-PT,2025-12-18,SUP-005,PRD-010,2000,28.00,56000.00,PLT-BKS-03,Closed
PO-77880-PT,2025-11-13,SUP-005,PRD-009,10000,45.00,450000.00,PLT-KRW-02,Open
PO-77881-PT,2025-09-17,SUP-007,PRD-014,2500,0.15,375.00,PLT-SBY-01,Open
PO-77882-PT,2026-01-18,SUP-003,PRD-011,2500,3.00,7500.00,PLT-SBY-01,Closed
PO-77883-PT,2026-05-10,SUP-007,PRD-009,500,45.00,22500.00,PLT-SBY-01,Closed
PO-77884-PT,2026-07-20,SUP-003,PRD-009,500,45.00,22500.00,PLT-KRW-02,Closed
PO-77885-PT,2026-03-09,SUP-003,PRD-001,2500,5.50,13750.00,PLT-KRW-02,Open
PO-77886-PT,2026-01-31,SUP-004,PRD-011,2000,3.00,6000.00,PLT-BKS-03,Closed
PO-77887-PT,2026-01-29,SUP-009,PRD-015,5000,18.00,90000.00,PLT-BKS-03,Closed
PO-77888-PT,2025-11-30,SUP-003,PRD-013,1500,4.00,6000.00,PLT-KRW-02,Open
PO-77889-PT,2025-10-31,SUP-006,PRD-013,5000,4.00,20000.00,PLT-BKS-03,Closed
PO-77890-PT,2025-12-15,SUP-003,PRD-013,1000,4.00,4000.00,PLT-KRW-02,Open
PO-77891-PT,2026-03-29,SUP-004,PRD-004,10000,35.00,350000.00,PLT-KRW-02,Open
PO-77892-PT,2025-11-25,SUP-004,PRD-001,2000,5.50,11000.00,PLT-KRW-02,Closed
PO-77893-PT,2025-12-21,SUP-002,PRD-013,2500,4.00,10000.00,PLT-KRW-02,Closed
PO-77894-PT,2026-07-14,SUP-009,PRD-006,500,15.00,7500.00,PLT-SBY-01,Open
PO-77895-PT,2025-10-31,SUP-010,PRD-005,500,22.00,11000.00,PLT-SBY-01,Closed
PO-77896-PT,2026-01-24,SUP-006,PRD-007,1000,2.50,2500.00,PLT-KRW-02,Closed
PO-77897-PT,2025-12-09,SUP-001,PRD-012,5000,6.00,30000.00,PLT-SBY-01,Closed
PO-77898-PT,2026-02-03,SUP-007,PRD-002,3000,12.00,36000.00,PLT-BKS-03,Closed
PO-77899-PT,2026-07-06,SUP-002,PRD-012,2500,6.00,15000.00,PLT-BKS-03,Open
PO-77900-PT,2026-07-08,SUP-007,PRD-006,5000,15.00,75000.00,PLT-BKS-03,Open
PO-77901-PT,2026-05-11,SUP-003,PRD-004,5000,35.00,175000.00,PLT-BKS-03,Closed
PO-77902-PT,2026-07-13,SUP-003,PRD-010,2500,28.00,70000.00,PLT-KRW-02,Open
PO-77903-PT,2026-01-03,SUP-005,PRD-004,5000,35.00,175000.00,PLT-BKS-03,Closed
PO-77904-PT,2026-03-27,SUP-008,PRD-008,2000,7.50,15000.00,PLT-BKS-03,Closed
PO-77905-PT,2025-10-26,SUP-002,PRD-005,3000,22.00,66000.00,PLT-SBY-01,Closed
PO-77906-PT,2026-07-11,SUP-005,PRD-004,2000,35.00,70000.00,PLT-SBY-01,Open
PO-77907-PT,2025-08-24,SUP-004,PRD-008,1000,7.50,7500.00,PLT-KRW-02,Closed
PO-77908-PT,2026-06-19,SUP-010,PRD-004,5000,35.00,175000.00,PLT-KRW-02,Closed
PO-77909-PT,2025-12-03,SUP-003,PRD-011,500,3.00,1500.00,PLT-SBY-01,Closed
PO-77910-PT,2025-11-21,SUP-003,PRD-013,10000,4.00,40000.00,PLT-SBY-01,Closed
PO-77911-PT,2025-10-02,SUP-008,PRD-003,10000,8.00,80000.00,PLT-BKS-03,Closed
PO-77912-PT,2026-03-15,SUP-010,PRD-014,5000,0.15,750.00,PLT-BKS-03,Closed
PO-77913-PT,2025-10-21,SUP-008,PRD-008,2500,7.50,18750.00,PLT-SBY-01,Open
PO-77914-PT,2026-04-24,SUP-008,PRD-011,2000,3.00,6000.00,PLT-KRW-02,Closed
PO-77915-PT,2025-09-09,SUP-005,PRD-004,2500,35.00,87500.00,PLT-KRW-02,Closed
PO-77916-PT,2026-05-04,SUP-002,PRD-003,1500,8.00,12000.00,PLT-SBY-01,Closed
PO-77917-PT,2026-07-22,SUP-003,PRD-012,2000,6.00,12000.00,PLT-SBY-01,Closed
PO-77918-PT,2026-02-25,SUP-006,PRD-009,10000,45.00,450000.00,PLT-KRW-02,Open
PO-77919-PT,2025-11-14,SUP-007,PRD-007,500,2.50,1250.00,PLT-BKS-03,Closed
PO-77920-PT,2026-04-02,SUP-001,PRD-006,2500,15.00,37500.00,PLT-KRW-02,Closed
PO-77921-PT,2026-05-03,SUP-009,PRD-013,2000,4.00,8000.00,PLT-KRW-02,Closed
PO-77922-PT,2025-12-18,SUP-007,PRD-008,500,7.50,3750.00,PLT-KRW-02,Closed
PO-77923-PT,2026-07-09,SUP-007,PRD-012,1500,6.00,9000.00,PLT-KRW-02,Closed
PO-77924-PT,2026-06-15,SUP-009,PRD-001,5000,5.50,27500.00,PLT-BKS-03,Open
PO-77925-PT,2025-09-12,SUP-007,PRD-003,10000,8.00,80000.00,PLT-SBY-01,Open
PO-77926-PT,2025-12-12,SUP-007,PRD-006,2000,15.00,30000.00,PLT-KRW-02,Closed
PO-77927-PT,2026-01-20,SUP-007,PRD-005,5000,22.00,110000.00,PLT-KRW-02,Closed
PO-77928-PT,2026-03-29,SUP-001,PRD-012,500,6.00,3000.00,PLT-KRW-02,Closed
PO-77929-PT,2026-06-29,SUP-002,PRD-013,500,4.00,2000.00,PLT-SBY-01,Closed
PO-77930-PT,2025-11-11,SUP-001,PRD-010,1500,28.00,42000.00,PLT-SBY-01,Closed
PO-77931-PT,2026-03-31,SUP-002,PRD-010,2000,28.00,56000.00,PLT-KRW-02,Open
PO-77932-PT,2026-02-05,SUP-003,PRD-010,1000,28.00,28000.00,PLT-SBY-01,Open
PO-77933-PT,2025-09-25,SUP-010,PRD-001,2500,5.50,13750.00,PLT-BKS-03,Closed
PO-77934-PT,2026-02-20,SUP-004,PRD-002,2000,12.00,24000.00,PLT-SBY-01,Open
PO-77935-PT,2026-07-17,SUP-010,PRD-013,1000,4.00,4000.00,PLT-BKS-03,Open
PO-77936-PT,2026-01-25,SUP-009,PRD-007,3000,2.50,7500.00,PLT-SBY-01,Closed
PO-77937-PT,2025-08-07,SUP-007,PRD-014,10000,0.15,1500.00,PLT-SBY-01,Closed
PO-77938-PT,2026-02-02,SUP-008,PRD-012,1500,6.00,9000.00,PLT-KRW-02,Closed
PO-77939-PT,2026-04-25,SUP-005,PRD-010,10000,28.00,280000.00,PLT-KRW-02,Closed
PO-77940-PT,2026-05-31,SUP-005,PRD-006,2000,15.00,30000.00,PLT-SBY-01,Open
PO-77941-PT,2026-03-19,SUP-004,PRD-013,10000,4.00,40000.00,PLT-BKS-03,Closed
PO-77942-PT,2026-01-20,SUP-001,PRD-008,3000,7.50,22500.00,PLT-SBY-01,Closed
PO-77943-PT,2025-11-17,SUP-006,PRD-013,2500,4.00,10000.00,PLT-KRW-02,Open
PO-77944-PT,2026-06-02,SUP-005,PRD-009,500,45.00,22500.00,PLT-BKS-03,Closed
PO-77945-PT,2025-09-13,SUP-004,PRD-012,5000,6.00,30000.00,PLT-KRW-02,Closed
PO-77946-PT,2026-07-20,SUP-008,PRD-011,10000,3.00,30000.00,PLT-KRW-02,Open
PO-77947-PT,2025-09-17,SUP-005,PRD-004,5000,35.00,175000.00,PLT-BKS-03,Closed
PO-77948-PT,2026-01-04,SUP-010,PRD-006,10000,15.00,150000.00,PLT-BKS-03,Closed
PO-77949-PT,2026-03-06,SUP-009,PRD-006,3000,15.00,45000.00,PLT-BKS-03,Closed
PO-77950-PT,2025-12-17,SUP-005,PRD-005,2000,22.00,44000.00,PLT-SBY-01,Closed
PO-77951-PT,2026-01-09,SUP-002,PRD-012,1500,6.00,9000.00,PLT-SBY-01,Closed
PO-77952-PT,2026-04-05,SUP-005,PRD-012,2500,6.00,15000.00,PLT-SBY-01,Closed
PO-77953-PT,2025-12-30,SUP-004,PRD-006,1500,15.00,22500.00,PLT-KRW-02,Open
PO-77954-PT,2026-07-29,SUP-009,PRD-003,2500,8.00,20000.00,PLT-SBY-01,Open
PO-77955-PT,2026-05-11,SUP-005,PRD-012,1500,6.00,9000.00,PLT-BKS-03,Closed
PO-77956-PT,2025-09-22,SUP-001,PRD-010,2500,28.00,70000.00,PLT-KRW-02,Closed
PO-77957-PT,2026-03-14,SUP-006,PRD-003,500,8.00,4000.00,PLT-KRW-02,Closed
PO-77958-PT,2025-09-28,SUP-002,PRD-007,10000,2.50,25000.00,PLT-SBY-01,Open
PO-77959-PT,2025-10-17,SUP-003,PRD-013,2500,4.00,10000.00,PLT-SBY-01,Closed
PO-77960-PT,2025-09-30,SUP-009,PRD-013,5000,4.00,20000.00,PLT-BKS-03,Closed
PO-77961-PT,2026-04-25,SUP-007,PRD-008,10000,7.50,75000.00,PLT-KRW-02,Closed
PO-77962-PT,2026-01-04,SUP-010,PRD-010,500,28.00,14000.00,PLT-BKS-03,Closed
PO-77963-PT,2025-11-15,SUP-004,PRD-005,1000,22.00,22000.00,PLT-SBY-01,Closed
PO-77964-PT,2025-10-28,SUP-009,PRD-002,1500,12.00,18000.00,PLT-SBY-01,Closed
PO-77965-PT,2026-03-19,SUP-010,PRD-008,2500,7.50,18750.00,PLT-SBY-01,Closed
PO-77966-PT,2025-12-26,SUP-005,PRD-012,10000,6.00,60000.00,PLT-SBY-01,Closed
PO-77967-PT,2025-12-14,SUP-010,PRD-011,2000,3.00,6000.00,PLT-KRW-02,Closed
PO-77968-PT,2026-05-06,SUP-004,PRD-011,1500,3.00,4500.00,PLT-KRW-02,Closed
PO-77969-PT,2025-09-06,SUP-001,PRD-003,2500,8.00,20000.00,PLT-BKS-03,Open
