delivery_order_id,customer_id,product_id,promised_delivery_date,actual_delivery_date,qty,order_value,plant_id,delivery_status
DO-202532,CUST-0009,PRD-015,2026-05-11,2026-05-11,200,20000.00,PLT-SBY-01,Completed
DO-202533,CUST-0007,PRD-010,2025-10-18,2025-10-15,100,7500.00,PLT-SBY-01,Completed
DO-202534,CUST-0019,PRD-004,2026-05-23,2026-05-20,1000,100000.00,PLT-KRW-02,Completed
DO-202535,CUST-0005,PRD-013,2026-07-24,2026-07-22,100,2500.00,PLT-KRW-02,Completed
DO-202536,CUST-0008,PRD-014,2025-09-13,2025-09-10,500,7500.00,PLT-BKS-03,Completed
DO-202537,CUST-0009,PRD-013,2026-03-24,2026-03-22,1000,150000.00,PLT-KRW-02,Completed
DO-202538,CUST-0006,PRD-011,2026-06-01,2026-06-01,1000,75000.00,PLT-SBY-01,Completed
DO-202539,CUST-0003,PRD-002,2025-12-21,2025-12-23,800,80000.00,PLT-KRW-02,Completed
DO-202540,CUST-0004,PRD-002,2025-08-08,2025-08-05,500,37500.00,PLT-SBY-01,Completed
DO-202541,CUST-0005,PRD-002,2025-11-09,2025-11-06,100,1500.00,PLT-SBY-01,Completed
DO-202542,CUST-0012,PRD-009,2025-09-22,2025-09-20,800,12000.00,PLT-KRW-02,Completed
DO-202543,CUST-0014,PRD-007,2025-09-18,2025-09-17,1000,35000.00,PLT-BKS-03,Completed
DO-202544,CUST-0013,PRD-003,2025-10-16,2025-10-14,800,28000.00,PLT-SBY-01,Completed
DO-202545,CUST-0006,PRD-007,2025-12-25,2025-12-22,100,10000.00,PLT-KRW-02,Completed
DO-202546,CUST-0008,PRD-012,2026-06-22,2026-06-21,800,20000.00,PLT-SBY-01,Completed
DO-202547,CUST-0010,PRD-001,2026-02-24,2026-02-21,500,100000.00,PLT-KRW-02,Completed
DO-202548,CUST-0014,PRD-014,2026-07-05,2026-07-04,500,50000.00,PLT-BKS-03,Completed
DO-202549,CUST-0007,PRD-008,2026-01-13,2026-01-17,500,37500.00,PLT-BKS-03,Completed
DO-202550,CUST-0016,PRD-010,2025-12-08,2025-12-06,800,80000.00,PLT-SBY-01,Completed
DO-202551,CUST-0019,PRD-004,2026-06-05,2026-06-04,1000,15000.00,PLT-BKS-03,Completed
DO-202552,CUST-0015,PRD-012,2025-11-21,2025-11-19,100,15000.00,PLT-BKS-03,Completed
DO-202553,CUST-0016,PRD-003,2026-06-26,2026-06-24,200,30000.00,PLT-KRW-02,Completed
DO-202554,CUST-0003,PRD-008,2026-06-08,2026-06-05,1000,150000.00,PLT-BKS-03,Completed
DO-202555,CUST-0002,PRD-013,2026-02-06,2026-02-06,100,5000.00,PLT-BKS-03,Completed
DO-202556,CUST-0012,PRD-003,2026-07-03,2026-06-30,500,75000.00,PLT-SBY-01,Completed
DO-202557,CUST-0001,PRD-002,2025-12-16,2025-12-21,1000,50000.00,PLT-KRW-02,Completed
DO-202558,CUST-0012,PRD-007,2026-03-31,2026-03-30,500,7500.00,PLT-KRW-02,Completed
DO-202559,CUST-0004,PRD-005,2026-03-06,2026-03-06,100,3500.00,PLT-KRW-02,Completed
DO-202560,CUST-0010,PRD-006,2026-03-27,2026-03-24,500,100000.00,PLT-SBY-01,Completed
DO-202561,CUST-0015,PRD-012,2026-07-28,2026-07-28,500,7500.00,PLT-BKS-03,Completed
DO-202562,CUST-0004,PRD-001,2026-01-28,2026-01-27,200,7000.00,PLT-BKS-03,Completed
DO-202563,CUST-0006,PRD-006,2026-05-19,2026-05-16,200,30000.00,PLT-BKS-03,Completed
DO-202564,CUST-0006,PRD-003,2026-06-29,2026-06-26,100,5000.00,PLT-KRW-02,Completed
DO-202565,CUST-0019,PRD-007,2026-02-21,,200,5000.00,PLT-KRW-02,In Transit
DO-202566,CUST-0003,PRD-010,2025-09-27,2025-09-26,500,50000.00,PLT-SBY-01,Completed
DO-202567,CUST-0015,PRD-002,2025-12-18,2025-12-15,1000,100000.00,PLT-BKS-03,Completed
DO-202568,CUST-0013,PRD-010,2026-02-22,2026-02-20,500,100000.00,PLT-BKS-03,Completed
DO-202569,CUST-0006,PRD-014,2026-07-16,2026-07-14,1000,25000.00,PLT-BKS-03,Completed
DO-202570,CUST-0005,PRD-006,2025-10-05,2025-10-06,200,20000.00,PLT-BKS-03,Completed
DO-202571,CUST-0005,PRD-009,2026-02-20,2026-02-19,1000,150000.00,PLT-KRW-02,Completed
DO-202572,CUST-0006,PRD-008,2026-06-27,2026-06-26,1000,35000.00,PLT-KRW-02,Completed
DO-202573,CUST-0010,PRD-003,2025-11-09,2025-11-06,1000,15000.00,PLT-KRW-02,Completed
DO-202574,CUST-0001,PRD-008,2025-10-14,2025-10-18,1000,200000.00,PLT-KRW-02,Completed
DO-202575,CUST-0016,PRD-007,2026-08-04,2026-08-01,200,5000.00,PLT-BKS-03,Completed
DO-202576,CUST-0001,PRD-013,2025-11-26,2025-11-24,200,15000.00,PLT-SBY-01,Completed
DO-202577,CUST-0015,PRD-010,2026-04-16,2026-04-16,1000,25000.00,PLT-KRW-02,Completed
DO-202578,CUST-0018,PRD-014,2026-02-09,2026-02-09,800,40000.00,PLT-KRW-02,Completed
DO-202579,CUST-0004,PRD-012,2026-07-06,2026-07-04,100,20000.00,PLT-KRW-02,Completed
DO-202580,CUST-0012,PRD-014,2025-09-19,2025-09-19,200,10000.00,PLT-BKS-03,Completed
DO-202581,CUST-0019,PRD-012,2026-02-01,2026-01-29,200,7000.00,PLT-SBY-01,Completed
DO-202582,CUST-0007,PRD-013,2025-09-05,2025-09-03,1000,35000.00,PLT-KRW-02,Completed
DO-202583,CUST-0010,PRD-005,2026-05-26,2026-05-26,200,30000.00,PLT-SBY-01,Completed
DO-202584,CUST-0009,PRD-014,2026-07-07,2026-07-09,200,7000.00,PLT-BKS-03,Completed
DO-202585,CUST-0011,PRD-014,2025-12-10,2025-12-07,800,28000.00,PLT-BKS-03,Completed
DO-202586,CUST-0009,PRD-011,2026-03-06,2026-03-06,100,15000.00,PLT-BKS-03,Completed
DO-202587,CUST-0009,PRD-012,2026-02-10,2026-02-07,500,7500.00,PLT-BKS-03,Completed
DO-202588,CUST-0003,PRD-012,2026-03-28,2026-03-26,100,15000.00,PLT-SBY-01,Completed
DO-202589,CUST-0014,PRD-014,2025-11-22,2025-11-20,500,50000.00,PLT-BKS-03,Completed
DO-202590,CUST-0019,PRD-003,2026-05-22,2026-05-20,100,1500.00,PLT-SBY-01,Completed
DO-202591,CUST-0015,PRD-001,2025-10-08,2025-10-07,800,160000.00,PLT-SBY-01,Completed
DO-202592,CUST-0014,PRD-004,2026-07-24,2026-07-22,200,15000.00,PLT-SBY-01,Completed
DO-202593,CUST-0012,PRD-005,2025-09-17,2025-09-16,100,15000.00,PLT-BKS-03,Completed
DO-202594,CUST-0010,PRD-012,2026-07-30,2026-07-27,100,2500.00,PLT-SBY-01,Completed
DO-202595,CUST-0007,PRD-008,2025-09-14,2025-09-16,1000,200000.00,PLT-SBY-01,Completed
DO-202596,CUST-0001,PRD-012,2026-01-28,2026-01-25,200,40000.00,PLT-SBY-01,Completed
DO-202597,CUST-0008,PRD-007,2025-09-20,2025-09-20,100,10000.00,PLT-KRW-02,Completed
DO-202598,CUST-0010,PRD-003,2026-02-17,2026-02-16,200,5000.00,PLT-BKS-03,Completed
DO-202599,CUST-0019,PRD-001,2026-06-14,2026-06-11,500,25000.00,PLT-BKS-03,Completed
DO-202600,CUST-0005,PRD-015,2026-03-04,2026-03-01,200,5000.00,PLT-SBY-01,Completed
DO-202601,CUST-0005,PRD-013,2025-10-08,2025-10-05,500,75000.00,PLT-KRW-02,Completed
DO-202602,CUST-0005,PRD-004,2025-12-25,2025-12-24,1000,75000.00,PLT-BKS-03,Completed
DO-202603,CUST-0001,PRD-014,2026-07-09,2026-07-08,1000,50000.00,PLT-BKS-03,Completed
DO-202604,CUST-0013,PRD-005,2026-07-02,,200,12000.00,PLT-KRW-02,In Transit
DO-202605,CUST-0004,PRD-004,2026-04-18,2026-04-18,1000,15000.00,PLT-KRW-02,Completed
DO-202606,CUST-0011,PRD-003,2026-02-20,2026-02-17,500,17500.00,PLT-KRW-02,Completed
DO-202607,CUST-0003,PRD-001,2026-06-02,,500,5000.00,PLT-SBY-01,In Transit
DO-202608,CUST-0002,PRD-013,2026-02-25,2026-02-22,800,120000.00,PLT-SBY-01,Completed
DO-202609,CUST-0018,PRD-009,2026-06-17,2026-06-18,500,12500.00,PLT-BKS-03,Completed
DO-202610,CUST-0007,PRD-013,2025-10-24,2025-10-21,1000,25000.00,PLT-KRW-02,Completed
DO-202611,CUST-0014,PRD-012,2025-12-06,,100,12000.00,PLT-SBY-01,In Transit
DO-202612,CUST-0015,PRD-010,2026-06-13,,200,2500.00,PLT-SBY-01,In Transit
DO-202613,CUST-0005,PRD-012,2025-08-11,2025-08-14,1000,75000.00,PLT-SBY-01,Completed
DO-202614,CUST-0012,PRD-003,2025-12-21,2025-12-21,100,10000.00,PLT-KRW-02,Completed
DO-202615,CUST-0009,PRD-009,2025-09-07,2025-09-07,800,160000.00,PLT-BKS-03,Completed
DO-202616,CUST-0012,PRD-001,2026-04-18,2026-04-17,500,17500.00,PLT-KRW-02,Completed
DO-202617,CUST-0004,PRD-015,2026-05-26,2026-05-26,200,3000.00,PLT-SBY-01,Completed
DO-202618,CUST-0001,PRD-004,2025-08-29,2025-08-26,200,7000.00,PLT-SBY-01,Completed
DO-202619,CUST-0018,PRD-013,2026-08-06,2026-08-03,200,20000.00,PLT-SBY-01,Completed
