telemetry_id,machine_id,timestamp,vibration_mm_s,temperature_celsius,current_ampere,pressure_bar,operating_rpm,machine_state
TEL-10060,MCH-TEMPERING-01,2026-07-01 08:00:00,1.28,49.9,35.6,157.7,0.0,RUNNING
TEL-10061,MCH-SHOTPEEN-01,2026-07-01 08:00:00,1.51,54.9,38.4,157.5,0.0,RUNNING
TEL-10062,MCH-STABILIZER-01,2026-07-01 08:00:00,1.5,50.2,35.4,155.6,0.0,RUNNING
TEL-10063,MCH-TESTING-01,2026-07-01 08:00:00,1.75,55.1,37.1,157.2,0.0,RUNNING
TEL-10064,MCH-COILING-01,2026-07-01 09:00:00,1.57,52.7,37.5,155.5,1459.6,RUNNING
TEL-10065,MCH-COILING-02,2026-07-01 09:00:00,1.33,50.2,36.8,158.0,1463.7,RUNNING
TEL-10066,MCH-HEATTREAT-01,2026-07-01 09:00:00,1.28,850.5,37.0,159.1,0.0,RUNNING
TEL-10067,MCH-TEMPERING-01,2026-07-01 09:00:00,1.49,54.9,37.3,155.2,0.0,RUNNING
TEL-10068,MCH-SHOTPEEN-01,2026-07-01 09:00:00,1.68,52.9,37.4,155.8,0.0,RUNNING
TEL-10069,MCH-STABILIZER-01,2026-07-01 09:00:00,1.26,54.4,37.8,155.4,0.0,RUNNING
TEL-10070,MCH-TESTING-01,2026-07-01 09:00:00,1.73,56.8,38.6,155.6,0.0,RUNNING
TEL-10071,MCH-COILING-01,2026-07-01 10:00:00,1.88,50.5,37.7,158.1,1449.5,RUNNING
TEL-10072,MCH-COILING-02,2026-07-01 10:00:00,1.58,51.8,38.4,158.9,1437.6,RUNNING
TEL-10073,MCH-HEATTREAT-01,2026-07-01 10:00:00,1.1,853.0,36.7,157.6,0.0,IDLE
TEL-10074,MCH-TEMPERING-01,2026-07-01 10:00:00,1.52,50.5,36.1,159.2,0.0,RUNNING
TEL-10075,MCH-SHOTPEEN-01,2026-07-01 10:00:00,1.72,55.2,36.9,153.6,0.0,RUNNING
TEL-10076,MCH-STABILIZER-01,2026-07-01 10:00:00,1.16,53.6,36.8,159.3,0.0,RUNNING
TEL-10077,MCH-TESTING-01,2026-07-01 10:00:00,1.74,54.6,38.8,153.6,0.0,RUNNING
TEL-10078,MCH-COILING-01,2026-07-01 11:00:00,1.77,50.7,37.0,157.7,1450.9,RUNNING
TEL-10079,MCH-COILING-02,2026-07-01 11:00:00,1.58,52.2,37.9,155.6,1442.5,RUNNING
TEL-10080,MCH-HEATTREAT-01,2026-07-01 11:00:00,1.08,850.8,36.5,159.9,0.0,RUNNING
TEL-10081,MCH-TEMPERING-01,2026-07-01 11:00:00,1.27,52.5,37.7,160.3,0.0,RUNNING
TEL-10082,MCH-SHOTPEEN-01,2026-07-01 11:00:00,1.48,51.3,36.7,154.9,0.0,RUNNING
TEL-10083,MCH-STABILIZER-01,2026-07-01 11:00:00,1.13,52.4,36.1,160.6,0.0,RUNNING
TEL-10084,MCH-TESTING-01,2026-07-01 11:00:00,1.76,52.3,39.1,156.0,0.0,RUNNING
TEL-10085,MCH-COILING-01,2026-07-01 12:00:00,1.73,51.8,36.6,156.0,1436.5,RUNNING
TEL-10086,MCH-COILING-02,2026-07-01 12:00:00,1.47,55.4,37.0,154.4,1453.9,RUNNING
TEL-10087,MCH-HEATTREAT-01,2026-07-01 12:00:00,1.06,853.7,35.8,161.3,0.0,RUNNING
TEL-10088,MCH-TEMPERING-01,2026-07-01 12:00:00,1.49,53.3,37.9,155.8,0.0,RUNNING
TEL-10089,MCH-SHOTPEEN-01,2026-07-01 12:00:00,1.55,53.5,38.7,159.5,0.0,RUNNING
TEL-10090,MCH-STABILIZER-01,2026-07-01 12:00:00,1.37,52.9,37.5,160.4,0.0,RUNNING
TEL-10091,MCH-TESTING-01,2026-07-01 12:00:00,1.56,55.8,36.9,154.1,0.0,RUNNING
TEL-10092,MCH-COILING-01,2026-07-01 13:00:00,1.5,51.7,37.0,156.6,1441.9,RUNNING
TEL-10093,MCH-COILING-02,2026-07-01 13:00:00,1.56,53.0,37.9,159.5,1458.6,RUNNING
TEL-10094,MCH-HEATTREAT-01,2026-07-01 13:00:00,1.26,856.1,36.2,158.6,0.0,RUNNING
TEL-10095,MCH-TEMPERING-01,2026-07-01 13:00:00,1.55,54.7,35.7,155.4,0.0,RUNNING
TEL-10096,MCH-SHOTPEEN-01,2026-07-01 13:00:00,1.67,54.4,37.0,154.3,0.0,RUNNING
TEL-10097,MCH-STABILIZER-01,2026-07-01 13:00:00,1.4,55.0,36.8,157.7,0.0,RUNNING
TEL-10098,MCH-TESTING-01,2026-07-01 13:00:00,1.49,54.3,37.4,154.5,0.0,RUNNING
TEL-10099,MCH-COILING-01,2026-07-01 14:00:00,1.88,54.2,37.0,160.6,1465.0,RUNNING
TEL-10100,MCH-COILING-02,2026-07-01 14:00:00,1.39,50.3,38.1,156.8,1454.5,RUNNING
TEL-10101,MCH-HEATTREAT-01,2026-07-01 14:00:00,1.07,853.8,36.8,158.3,0.0,RUNNING
TEL-10102,MCH-TEMPERING-01,2026-07-01 14:00:00,1.32,51.5,37.5,159.6,0.0,RUNNING
TEL-10103,MCH-SHOTPEEN-01,2026-07-01 14:00:00,1.64,52.5,38.9,158.4,0.0,RUNNING
TEL-10104,MCH-STABILIZER-01,2026-07-01 14:00:00,1.3,50.9,36.3,160.6,0.0,RUNNING
TEL-10105,MCH-TESTING-01,2026-07-01 14:00:00,1.68,57.9,38.4,156.3,0.0,RUNNING
TEL-10106,MCH-COILING-01,2026-07-01 15:00:00,1.57,51.1,37.5,158.6,1457.8,RUNNING
TEL-10107,MCH-COILING-02,2026-07-01 15:00:00,1.5,56.1,37.1,158.2,1438.6,RUNNING
TEL-10108,MCH-HEATTREAT-01,2026-07-01 15:00:00,1.24,851.6,35.4,158.6,0.0,RUNNING
TEL-10109,MCH-TEMPERING-01,2026-07-01 15:00:00,1.22,55.8,38.2,157.2,0.0,RUNNING
TEL-10110,MCH-SHOTPEEN-01,2026-07-01 15:00:00,1.7,53.9,38.2,156.6,0.0,RUNNING
TEL-10111,MCH-STABILIZER-01,2026-07-01 15:00:00,1.46,55.3,36.0,158.0,0.0,RUNNING
TEL-10112,MCH-TESTING-01,2026-07-01 15:00:00,1.85,54.8,39.1,158.2,0.0,RUNNING
TEL-10113,MCH-COILING-01,2026-07-01 16:00:00,1.81,51.4,38.0,157.9,1459.6,RUNNING
TEL-10114,MCH-COILING-02,2026-07-01 16:00:00,1.4,53.9,38.8,156.9,1439.5,RUNNING
TEL-10115,MCH-HEATTREAT-01,2026-07-01 16:00:00,1.14,853.6,36.5,158.1,0.0,RUNNING
TEL-10116,MCH-TEMPERING-01,2026-07-01 16:00:00,1.26,53.9,37.2,155.8,0.0,RUNNING
TEL-10117,MCH-SHOTPEEN-01,2026-07-01 16:00:00,1.38,55.5,38.2,158.4,0.0,RUNNING
TEL-10118,MCH-STABILIZER-01,2026-07-01 16:00:00,1.39,54.2,38.3,157.7,0.0,IDLE
TEL-10119,MCH-TESTING-01,2026-07-01 16:00:00,1.68,55.3,39.1,158.3,0.0,RUNNING
TEL-10120,MCH-COILING-01,2026-07-01 17:00:00,1.71,51.7,37.4,157.3,1454.6,RUNNING
TEL-10121,MCH-COILING-02,2026-07-01 17:00:00,1.47,56.4,36.8,158.1,1454.5,RUNNING
TEL-10122,MCH-HEATTREAT-01,2026-07-01 17:00:00,1.34,855.6,36.1,157.2,0.0,RUNNING
TEL-10123,MCH-TEMPERING-01,2026-07-01 17:00:00,1.49,55.0,35.6,154.9,0.0,RUNNING
TEL-10124,MCH-SHOTPEEN-01,2026-07-01 17:00:00,1.73,57.1,38.3,156.2,0.0,RUNNING
TEL-10125,MCH-STABILIZER-01,2026-07-01 17:00:00,1.38,54.6,36.6,158.9,0.0,RUNNING
TEL-10126,MCH-TESTING-01,2026-07-01 17:00:00,1.5,56.6,37.3,155.3,0.0,RUNNING
TEL-10127,MCH-COILING-01,2026-07-01 18:00:00,1.71,52.4,37.6,155.9,1437.4,RUNNING
TEL-10128,MCH-COILING-02,2026-07-01 18:00:00,1.53,51.6,38.6,154.8,1448.8,RUNNING
TEL-10129,MCH-HEATTREAT-01,2026-07-01 18:00:00,1.1,850.1,37.3,160.7,0.0,RUNNING
TEL-10130,MCH-TEMPERING-01,2026-07-01 18:00:00,1.25,52.2,36.5,158.0,0.0,RUNNING
TEL-10131,MCH-SHOTPEEN-01,2026-07-01 18:00:00,1.54,52.3,38.6,154.8,0.0,RUNNING
TEL-10132,MCH-STABILIZER-01,2026-07-01 18:00:00,1.32,50.4,37.0,158.2,0.0,RUNNING
TEL-10133,MCH-TESTING-01,2026-07-01 18:00:00,1.6,57.8,38.4,154.7,0.0,RUNNING
TEL-10134,MCH-COILING-01,2026-07-01 19:00:00,1.77,53.6,35.4,158.5,1449.9,RUNNING
TEL-10135,MCH-COILING-02,2026-07-01 19:00:00,1.4,55.2,37.6,156.1,1454.1,RUNNING
TEL-10136,MCH-HEATTREAT-01,2026-07-01 19:00:00,1.27,854.7,36.9,160.4,0.0,RUNNING
TEL-10137,MCH-TEMPERING-01,2026-07-01 19:00:00,1.54,53.5,36.4,157.1,0.0,RUNNING
TEL-10138,MCH-SHOTPEEN-01,2026-07-01 19:00:00,1.66,51.2,37.0,158.0,0.0,RUNNING
TEL-10139,MCH-STABILIZER-01,2026-07-01 19:00:00,1.17,52.4,38.2,157.9,0.0,RUNNING
TEL-10140,MCH-TESTING-01,2026-07-01 19:00:00,1.81,53.1,38.9,155.9,0.0,RUNNING
TEL-10141,MCH-COILING-01,2026-07-01 20:00:00,1.8,50.9,35.6,160.6,1439.2,RUNNING
TEL-10142,MCH-COILING-02,2026-07-01 20:00:00,1.63,54.8,38.8,159.8,1459.1,RUNNING
TEL-10143,MCH-HEATTREAT-01,2026-07-01 20:00:00,1.32,850.1,36.5,158.1,0.0,RUNNING
TEL-10144,MCH-TEMPERING-01,2026-07-01 20:00:00,1.45,53.1,38.0,160.1,0.0,RUNNING
TEL-10145,MCH-SHOTPEEN-01,2026-07-01 20:00:00,1.46,50.8,38.7,156.9,0.0,RUNNING
TEL-10146,MCH-STABILIZER-01,2026-07-01 20:00:00,1.21,49.3,37.8,160.2,0.0,RUNNING
TEL-10147,MCH-TESTING-01,2026-07-01 20:00:00,1.64,52.4,39.3,154.9,0.0,RUNNING
TEL-10148,MCH-COILING-01,2026-07-01 21:00:00,1.54,54.5,35.6,157.6,1455.1,RUNNING
TEL-10149,MCH-COILING-02,2026-07-01 21:00:00,1.66,52.8,38.1,154.9,1447.4,RUNNING
TEL-10150,MCH-HEATTREAT-01,2026-07-01 21:00:00,1.19,852.7,37.8,155.5,0.0,RUNNING
TEL-10151,MCH-TEMPERING-01,2026-07-01 21:00:00,1.36,55.5,38.1,155.0,0.0,RUNNING
TEL-10152,MCH-SHOTPEEN-01,2026-07-01 21:00:00,1.58,57.0,37.2,156.0,0.0,RUNNING
TEL-10153,MCH-STABILIZER-01,2026-07-01 21:00:00,1.17,54.4,36.7,158.7,0.0,RUNNING
TEL-10154,MCH-TESTING-01,2026-07-01 21:00:00,1.72,51.6,38.8,154.5,0.0,RUNNING
TEL-10155,MCH-COILING-01,2026-07-01 22:00:00,1.72,49.2,37.5,156.1,1441.5,RUNNING
TEL-10156,MCH-COILING-02,2026-07-01 22:00:00,1.41,51.0,38.5,154.0,1460.8,RUNNING
TEL-10157,MCH-HEATTREAT-01,2026-07-01 22:00:00,1.05,851.6,35.4,159.3,0.0,IDLE
TEL-10158,MCH-TEMPERING-01,2026-07-01 22:00:00,1.19,54.5,36.2,156.4,0.0,RUNNING
TEL-10159,MCH-SHOTPEEN-01,2026-07-01 22:00:00,1.39,55.5,37.7,158.0,0.0,RUNNING
TEL-10160,MCH-STABILIZER-01,2026-07-01 22:00:00,1.43,52.2,35.6,157.8,0.0,RUNNING
TEL-10161,MCH-TESTING-01,2026-07-01 22:00:00,1.5,56.6,39.0,156.2,0.0,RUNNING
TEL-10162,MCH-COILING-01,2026-07-01 23:00:00,1.88,49.1,36.7,157.3,1455.6,RUNNING
TEL-10163,MCH-COILING-02,2026-07-01 23:00:00,1.65,50.5,36.1,157.6,1437.0,RUNNING
TEL-10164,MCH-HEATTREAT-01,2026-07-01 23:00:00,1.25,853.6,35.9,161.3,0.0,RUNNING
TEL-10165,MCH-TEMPERING-01,2026-07-01 23:00:00,1.36,53.3,35.8,158.7,0.0,RUNNING
TEL-10166,MCH-SHOTPEEN-01,2026-07-01 23:00:00,1.63,55.7,38.3,154.9,0.0,RUNNING
TEL-10167,MCH-STABILIZER-01,2026-07-01 23:00:00,1.21,51.1,36.7,157.2,0.0,RUNNING
TEL-10168,MCH-TESTING-01,2026-07-01 23:00:00,1.65,55.8,37.6,153.9,0.0,RUNNING
TEL-10169,MCH-COILING-01,2026-07-02 00:00:00,1.84,49.9,36.6,159.9,1445.3,RUNNING
TEL-10170,MCH-COILING-02,2026-07-02 00:00:00,1.46,57.3,36.6,155.3,1458.6,RUNNING
TEL-10171,MCH-HEATTREAT-01,2026-07-02 00:00:00,1.14,854.3,36.3,159.6,0.0,RUNNING
TEL-10172,MCH-TEMPERING-01,2026-07-02 00:00:00,1.52,53.9,36.3,155.1,0.0,RUNNING
TEL-10173,MCH-SHOTPEEN-01,2026-07-02 00:00:00,1.76,57.6,38.7,153.1,0.0,RUNNING
TEL-10174,MCH-STABILIZER-01,2026-07-02 00:00:00,1.46,55.6,37.3,159.0,0.0,RUNNING
TEL-10175,MCH-TESTING-01,2026-07-02 00:00:00,1.63,53.4,39.5,157.5,0.0,RUNNING
TEL-10176,MCH-COILING-01,2026-07-02 01:00:00,1.72,54.2,37.4,156.8,1458.1,RUNNING
TEL-10177,MCH-COILING-02,2026-07-02 01:00:00,1.58,53.5,36.6,154.7,1453.1,RUNNING
TEL-10178,MCH-HEATTREAT-01,2026-07-02 01:00:00,0.95,852.6,35.8,161.3,0.0,RUNNING
TEL-10179,MCH-TEMPERING-01,2026-07-02 01:00:00,1.48,50.8,36.0,155.0,0.0,RUNNING
TEL-10180,MCH-SHOTPEEN-01,2026-07-02 01:00:00,1.72,57.1,36.8,158.3,0.0,RUNNING
TEL-10181,MCH-STABILIZER-01,2026-07-02 01:00:00,1.53,55.3,36.7,156.9,0.0,RUNNING
TEL-10182,MCH-TESTING-01,2026-07-02 01:00:00,1.69,52.4,37.3,154.7,0.0,RUNNING
TEL-10183,MCH-COILING-01,2026-07-02 02:00:00,1.93,51.9,36.1,154.4,1462.5,RUNNING
TEL-10184,MCH-COILING-02,2026-07-02 02:00:00,1.71,55.7,37.5,157.2,1462.2,IDLE
TEL-10185,MCH-HEATTREAT-01,2026-07-02 02:00:00,1.01,850.5,37.5,159.3,0.0,RUNNING
TEL-10186,MCH-TEMPERING-01,2026-07-02 02:00:00,1.58,51.5,36.2,155.4,0.0,RUNNING
TEL-10187,MCH-SHOTPEEN-01,2026-07-02 02:00:00,1.76,52.1,39.1,155.9,0.0,RUNNING
TEL-10188,MCH-STABILIZER-01,2026-07-02 02:00:00,1.43,53.0,37.6,156.2,0.0,IDLE
TEL-10189,MCH-TESTING-01,2026-07-02 02:00:00,1.68,55.6,37.2,156.8,0.0,RUNNING
TEL-10190,MCH-COILING-01,2026-07-02 03:00:00,1.78,55.9,37.3,158.9,1450.2,IDLE
TEL-10191,MCH-COILING-02,2026-07-02 03:00:00,1.73,51.0,37.3,155.7,1457.4,RUNNING
TEL-10192,MCH-HEATTREAT-01,2026-07-02 03:00:00,0.95,851.1,36.7,156.3,0.0,RUNNING
TEL-10193,MCH-TEMPERING-01,2026-07-02 03:00:00,1.57,50.8,36.8,156.0,0.0,RUNNING
TEL-10194,MCH-SHOTPEEN-01,2026-07-02 03:00:00,1.84,56.2,39.5,155.7,0.0,RUNNING
TEL-10195,MCH-STABILIZER-01,2026-07-02 03:00:00,1.23,53.9,38.3,154.7,0.0,RUNNING
TEL-10196,MCH-TESTING-01,2026-07-02 03:00:00,1.85,57.6,37.6,154.6,0.0,RUNNING
TEL-10197,MCH-COILING-01,2026-07-02 04:00:00,1.97,52.8,35.8,158.0,1443.6,RUNNING
TEL-10198,MCH-COILING-02,2026-07-02 04:00:00,1.4,55.0,37.0,158.3,1448.1,RUNNING
TEL-10199,MCH-HEATTREAT-01,2026-07-02 04:00:00,1.1,855.7,35.7,156.8,0.0,RUNNING
TEL-10200,MCH-TEMPERING-01,2026-07-02 04:00:00,1.42,55.2,36.6,154.5,0.0,RUNNING
TEL-10201,MCH-SHOTPEEN-01,2026-07-02 04:00:00,1.68,58.2,37.1,154.6,0.0,RUNNING
TEL-10202,MCH-STABILIZER-01,2026-07-02 04:00:00,1.31,51.2,36.8,158.8,0.0,RUNNING
TEL-10203,MCH-TESTING-01,2026-07-02 04:00:00,1.71,54.8,38.8,158.2,0.0,RUNNING
TEL-10204,MCH-COILING-01,2026-07-02 05:00:00,1.81,53.9,38.1,154.5,1455.1,RUNNING
TEL-10205,MCH-COILING-02,2026-07-02 05:00:00,1.59,55.6,36.6,153.7,1460.5,RUNNING
TEL-10206,MCH-HEATTREAT-01,2026-07-02 05:00:00,1.1,850.3,35.4,159.5,0.0,RUNNING
TEL-10207,MCH-TEMPERING-01,2026-07-02 05:00:00,1.65,50.2,36.2,156.7,0.0,RUNNING
TEL-10208,MCH-SHOTPEEN-01,2026-07-02 05:00:00,1.69,52.2,37.0,155.1,0.0,RUNNING
TEL-10209,MCH-STABILIZER-01,2026-07-02 05:00:00,1.29,55.5,35.6,155.6,0.0,RUNNING
TEL-10210,MCH-TESTING-01,2026-07-02 05:00:00,1.9,52.6,39.0,157.0,0.0,RUNNING
TEL-10211,MCH-COILING-01,2026-07-02 06:00:00,1.89,54.3,38.7,155.4,1439.1,RUNNING
TEL-10212,MCH-COILING-02,2026-07-02 06:00:00,1.45,55.4,39.1,158.4,1464.0,RUNNING
TEL-10213,MCH-HEATTREAT-01,2026-07-02 06:00:00,1.19,854.1,36.3,157.4,0.0,RUNNING
TEL-10214,MCH-TEMPERING-01,2026-07-02 06:00:00,1.33,54.6,37.9,155.1,0.0,RUNNING
TEL-10215,MCH-SHOTPEEN-01,2026-07-02 06:00:00,1.6,58.1,38.9,154.3,0.0,RUNNING
TEL-10216,MCH-STABILIZER-01,2026-07-02 06:00:00,1.32,53.0,36.9,160.4,0.0,RUNNING
TEL-10217,MCH-TESTING-01,2026-07-02 06:00:00,1.89,52.3,37.8,157.0,0.0,RUNNING
TEL-10218,MCH-COILING-01,2026-07-02 07:00:00,1.8,52.4,37.4,154.9,1444.5,RUNNING
TEL-10219,MCH-COILING-02,2026-07-02 07:00:00,1.57,54.1,36.5,158.5,1451.5,RUNNING
TEL-10220,MCH-HEATTREAT-01,2026-07-02 07:00:00,1.23,850.3,36.2,160.9,0.0,RUNNING
TEL-10221,MCH-TEMPERING-01,2026-07-02 07:00:00,1.48,52.0,36.3,159.6,0.0,RUNNING
TEL-10222,MCH-SHOTPEEN-01,2026-07-02 07:00:00,1.89,55.1,37.4,153.3,0.0,RUNNING
TEL-10223,MCH-STABILIZER-01,2026-07-02 07:00:00,1.56,51.1,37.4,158.2,0.0,RUNNING
TEL-10224,MCH-TESTING-01,2026-07-02 07:00:00,1.79,55.7,38.4,153.8,0.0,RUNNING
TEL-10225,MCH-COILING-01,2026-07-02 08:00:00,2.0,51.9,38.5,154.4,1460.9,RUNNING
TEL-10226,MCH-COILING-02,2026-07-02 08:00:00,1.76,55.8,36.9,154.8,1452.2,RUNNING
TEL-10227,MCH-HEATTREAT-01,2026-07-02 08:00:00,0.94,855.3,36.3,159.5,0.0,RUNNING
TEL-10228,MCH-TEMPERING-01,2026-07-02 08:00:00,1.37,55.2,37.0,156.7,0.0,RUNNING
TEL-10229,MCH-SHOTPEEN-01,2026-07-02 08:00:00,1.57,54.4,38.0,154.9,0.0,RUNNING
TEL-10230,MCH-STABILIZER-01,2026-07-02 08:00:00,1.52,51.4,38.4,156.5,0.0,RUNNING
TEL-10231,MCH-TESTING-01,2026-07-02 08:00:00,1.84,55.2,37.0,154.2,0.0,RUNNING
TEL-10232,MCH-COILING-01,2026-07-02 09:00:00,1.82,50.7,35.8,159.8,1460.9,RUNNING
TEL-10233,MCH-COILING-02,2026-07-02 09:00:00,1.77,56.6,38.6,159.1,1456.6,RUNNING
TEL-10234,MCH-HEATTREAT-01,2026-07-02 09:00:00,0.99,856.0,36.1,160.9,0.0,RUNNING
TEL-10235,MCH-TEMPERING-01,2026-07-02 09:00:00,1.31,52.5,37.2,155.5,0.0,RUNNING
TEL-10236,MCH-SHOTPEEN-01,2026-07-02 09:00:00,1.53,53.5,38.3,157.9,0.0,RUNNING
TEL-10237,MCH-STABILIZER-01,2026-07-02 09:00:00,1.29,49.3,35.8,155.3,0.0,RUNNING
