output_id,machine_id,sku_id,shift_number,timestamp,actual_qty_produced,actual_avg_cycle_time_seconds,speed_loss_duration_minutes
OUT-5048,MCH-TESTING-01,SKU-LS-ISUZU-02,3,2026-07-03 00:00:00,463,59.3,21.6
OUT-5049,MCH-COILING-01,SKU-CS-TOYOTA-01,1,2026-07-03 08:00:00,931,30.79,2.1
OUT-5050,MCH-COILING-01,SKU-CS-TOYOTA-01,2,2026-07-03 16:00:00,957,29.61,7.7
OUT-5051,MCH-COILING-01,SKU-CS-TOYOTA-01,3,2026-07-04 00:00:00,939,30.12,8.3
OUT-5052,MCH-COILING-02,SKU-CS-HONDA-02,1,2026-07-03 08:00:00,957,29.64,7.0
OUT-5053,MCH-COILING-02,SKU-CS-HONDA-02,2,2026-07-03 16:00:00,960,29.66,5.3
OUT-5054,MCH-COILING-02,SKU-CS-HONDA-02,3,2026-07-04 00:00:00,923,29.8,21.5
OUT-5055,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-03 08:00:00,587,48.49,5.2
OUT-5056,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-03 16:00:00,615,45.83,9.9
OUT-5057,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-04 00:00:00,587,48.44,5.5
OUT-5058,MCH-TEMPERING-01,SKU-LS-HINO-01,1,2026-07-03 08:00:00,607,46.79,6.1
OUT-5059,MCH-TEMPERING-01,SKU-LS-HINO-01,2,2026-07-03 16:00:00,645,43.73,9.9
OUT-5060,MCH-TEMPERING-01,SKU-LS-HINO-01,3,2026-07-04 00:00:00,553,49.46,23.5
OUT-5061,MCH-SHOTPEEN-01,SKU-LS-HINO-01,1,2026-07-03 08:00:00,600,47.61,3.7
OUT-5062,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2,2026-07-03 16:00:00,641,43.96,10.0
OUT-5063,MCH-SHOTPEEN-01,SKU-LS-HINO-01,3,2026-07-04 00:00:00,615,45.89,9.4
OUT-5064,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-03 08:00:00,607,44.04,11.6
OUT-5065,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-03 16:00:00,582,48.85,5.4
OUT-5066,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-04 00:00:00,608,45.5,18.9
OUT-5067,MCH-STABILIZER-01,SKU-SB-CANTER-01,1,2026-07-03 08:00:00,426,67.05,3.6
OUT-5068,MCH-STABILIZER-01,SKU-SB-CANTER-01,2,2026-07-03 16:00:00,435,65.26,6.6
OUT-5069,MCH-STABILIZER-01,SKU-SB-CANTER-01,3,2026-07-04 00:00:00,443,61.92,22.7
OUT-5070,MCH-TESTING-01,SKU-LS-HINO-01,1,2026-07-03 08:00:00,595,47.36,10.0
OUT-5071,MCH-TESTING-01,SKU-LS-HINO-01,2,2026-07-03 16:00:00,629,45.09,6.6
OUT-5072,MCH-TESTING-01,SKU-LS-HINO-01,3,2026-07-04 00:00:00,585,47.43,17.2
OUT-5073,MCH-COILING-01,SKU-CS-HONDA-02,1,2026-07-04 08:00:00,1052,26.96,7.3
OUT-5074,MCH-COILING-01,SKU-CS-HONDA-02,2,2026-07-04 16:00:00,1000,28.6,3.3
OUT-5075,MCH-COILING-01,SKU-CS-HONDA-02,3,2026-07-05 00:00:00,934,29.55,19.6
OUT-5076,MCH-COILING-02,SKU-CS-HONDA-02,1,2026-07-04 08:00:00,1022,27.62,9.5
OUT-5077,MCH-COILING-02,SKU-CS-HONDA-02,2,2026-07-04 16:00:00,1028,27.47,9.3
OUT-5078,MCH-COILING-02,SKU-CS-HONDA-02,3,2026-07-05 00:00:00,866,29.75,12.5
OUT-5079,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-04 08:00:00,529,46.23,2.1
OUT-5080,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-04 16:00:00,581,49.18,3.4
OUT-5081,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-05 00:00:00,586,47.58,15.0
OUT-5082,MCH-TEMPERING-01,SKU-LS-ISUZU-02,1,2026-07-04 08:00:00,501,57.17,2.4
OUT-5083,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2,2026-07-04 16:00:00,535,53.58,2.1
OUT-5084,MCH-TEMPERING-01,SKU-LS-ISUZU-02,3,2026-07-05 00:00:00,489,53.69,19.5
OUT-5085,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,1,2026-07-04 08:00:00,526,54.34,3.0
OUT-5086,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2,2026-07-04 16:00:00,464,60.63,10.5
OUT-5087,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,3,2026-07-05 00:00:00,495,55.16,24.1
OUT-5088,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-04 08:00:00,577,49.22,6.6
OUT-5089,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-04 16:00:00,640,44.01,10.0
OUT-5090,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-05 00:00:00,544,46.35,16.4
OUT-5091,MCH-STABILIZER-01,SKU-SB-CANTER-01,1,2026-07-04 08:00:00,452,62.24,10.9
OUT-5092,MCH-STABILIZER-01,SKU-SB-CANTER-01,2,2026-07-04 16:00:00,410,64.97,8.8
OUT-5093,MCH-STABILIZER-01,SKU-SB-CANTER-01,3,2026-07-05 00:00:00,438,62.58,22.5
OUT-5094,MCH-TESTING-01,SKU-LS-HINO-01,1,2026-07-04 08:00:00,639,44.27,8.4
OUT-5095,MCH-TESTING-01,SKU-LS-HINO-01,2,2026-07-04 16:00:00,527,49.33,10.5
OUT-5096,MCH-TESTING-01,SKU-LS-HINO-01,3,2026-07-05 00:00:00,616,45.58,11.4
OUT-5097,MCH-COILING-01,SKU-CS-TOYOTA-01,1,2026-07-05 08:00:00,939,30.23,6.8
OUT-5098,MCH-COILING-01,SKU-CS-TOYOTA-01,2,2026-07-05 16:00:00,984,28.87,6.3
OUT-5099,MCH-COILING-01,SKU-CS-TOYOTA-01,3,2026-07-06 00:00:00,819,31.77,6.8
OUT-5100,MCH-COILING-02,SKU-CS-TOYOTA-01,1,2026-07-05 08:00:00,967,29.32,7.4
OUT-5101,MCH-COILING-02,SKU-CS-TOYOTA-01,2,2026-07-05 16:00:00,863,32.67,9.6
OUT-5102,MCH-COILING-02,SKU-CS-TOYOTA-01,3,2026-07-06 00:00:00,855,33.11,7.7
OUT-5103,MCH-HEATTREAT-01,SKU-LS-ISUZU-02,1,2026-07-05 08:00:00,511,55.22,9.3
OUT-5104,MCH-HEATTREAT-01,SKU-LS-ISUZU-02,2,2026-07-05 16:00:00,473,60.01,6.5
OUT-5105,MCH-HEATTREAT-01,SKU-LS-ISUZU-02,3,2026-07-06 00:00:00,471,60.34,5.4
OUT-5106,MCH-TEMPERING-01,SKU-LS-ISUZU-02,1,2026-07-05 08:00:00,521,54.16,9.7
OUT-5107,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2,2026-07-05 16:00:00,485,53.94,10.4
OUT-5108,MCH-TEMPERING-01,SKU-LS-ISUZU-02,3,2026-07-06 00:00:00,466,56.22,17.8
OUT-5109,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,1,2026-07-05 08:00:00,470,60.91,2.1
OUT-5110,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2,2026-07-05 16:00:00,479,59.34,5.6
OUT-5111,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,3,2026-07-06 00:00:00,532,53.42,5.8
OUT-5112,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-05 08:00:00,637,44.59,5.9
OUT-5113,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-05 16:00:00,583,48.57,7.6
OUT-5114,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-06 00:00:00,636,43.95,13.5
OUT-5115,MCH-STABILIZER-01,SKU-SB-AVANZA-02,1,2026-07-05 08:00:00,636,44.18,11.3
OUT-5116,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2,2026-07-05 16:00:00,696,40.47,10.3
OUT-5117,MCH-STABILIZER-01,SKU-SB-AVANZA-02,3,2026-07-06 00:00:00,632,44.55,10.1
OUT-5118,MCH-TESTING-01,SKU-LS-ISUZU-02,1,2026-07-05 08:00:00,506,55.46,11.9
OUT-5119,MCH-TESTING-01,SKU-LS-ISUZU-02,2,2026-07-05 16:00:00,452,57.67,4.8
OUT-5120,MCH-TESTING-01,SKU-LS-ISUZU-02,3,2026-07-06 00:00:00,508,55.93,5.8
OUT-5121,MCH-COILING-01,SKU-CS-TOYOTA-01,1,2026-07-06 08:00:00,893,31.94,4.1
OUT-5122,MCH-COILING-01,SKU-CS-TOYOTA-01,2,2026-07-06 16:00:00,704,32.74,11.0
OUT-5123,MCH-COILING-01,SKU-CS-TOYOTA-01,3,2026-07-07 00:00:00,938,29.31,21.4
OUT-5124,MCH-COILING-02,SKU-CS-TOYOTA-01,1,2026-07-06 08:00:00,841,33.51,10.1
OUT-5125,MCH-COILING-02,SKU-CS-TOYOTA-01,2,2026-07-06 16:00:00,852,33.43,5.2
OUT-5126,MCH-COILING-02,SKU-CS-TOYOTA-01,3,2026-07-07 00:00:00,961,29.48,7.4
OUT-5127,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-06 08:00:00,589,43.84,3.8
OUT-5128,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-06 16:00:00,585,48.18,9.7
OUT-5129,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-07 00:00:00,587,48.18,8.5
OUT-5130,MCH-TEMPERING-01,SKU-LS-HINO-01,1,2026-07-06 08:00:00,658,43.23,5.5
OUT-5131,MCH-TEMPERING-01,SKU-LS-HINO-01,2,2026-07-06 16:00:00,572,49.41,8.2
OUT-5132,MCH-TEMPERING-01,SKU-LS-HINO-01,3,2026-07-07 00:00:00,613,45.19,18.2
OUT-5133,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,1,2026-07-06 08:00:00,404,54.35,11.2
OUT-5134,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2,2026-07-06 16:00:00,422,59.29,3.0
OUT-5135,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,3,2026-07-07 00:00:00,406,54.51,14.2
OUT-5136,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-06 08:00:00,570,46.55,3.1
OUT-5137,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-06 16:00:00,642,44.33,5.0
OUT-5138,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-07 00:00:00,620,44.85,16.1
OUT-5139,MCH-STABILIZER-01,SKU-SB-AVANZA-02,1,2026-07-06 08:00:00,706,39.98,9.4
OUT-5140,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2,2026-07-06 16:00:00,685,41.07,11.0
OUT-5141,MCH-STABILIZER-01,SKU-SB-AVANZA-02,3,2026-07-07 00:00:00,617,41.3,21.4
OUT-5142,MCH-TESTING-01,SKU-LS-HINO-01,1,2026-07-06 08:00:00,623,45.78,4.2
OUT-5143,MCH-TESTING-01,SKU-LS-HINO-01,2,2026-07-06 16:00:00,590,48.26,5.0
OUT-5144,MCH-TESTING-01,SKU-LS-HINO-01,3,2026-07-07 00:00:00,632,44.2,14.3
OUT-5145,MCH-COILING-01,SKU-CS-TOYOTA-01,1,2026-07-07 08:00:00,921,30.84,6.3
OUT-5146,MCH-COILING-01,SKU-CS-TOYOTA-01,2,2026-07-07 16:00:00,849,33.27,9.1
OUT-5147,MCH-COILING-01,SKU-CS-TOYOTA-01,3,2026-07-08 00:00:00,881,31.09,23.1
OUT-5148,MCH-COILING-02,SKU-CS-TOYOTA-01,1,2026-07-07 08:00:00,982,29.17,2.5
OUT-5149,MCH-COILING-02,SKU-CS-TOYOTA-01,2,2026-07-07 16:00:00,880,32.26,6.6
OUT-5150,MCH-COILING-02,SKU-CS-TOYOTA-01,3,2026-07-08 00:00:00,868,29.66,18.2
OUT-5151,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-07 08:00:00,609,46.48,7.9
OUT-5152,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-07 16:00:00,630,44.72,10.1
OUT-5153,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-08 00:00:00,644,43.24,15.7
OUT-5154,MCH-TEMPERING-01,SKU-LS-ISUZU-02,1,2026-07-07 08:00:00,483,58.1,11.7
OUT-5155,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2,2026-07-07 16:00:00,480,58.87,8.7
OUT-5156,MCH-TEMPERING-01,SKU-LS-ISUZU-02,3,2026-07-08 00:00:00,480,54.46,18.9
OUT-5157,MCH-SHOTPEEN-01,SKU-LS-HINO-01,1,2026-07-07 08:00:00,632,44.57,9.9
OUT-5158,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2,2026-07-07 16:00:00,579,48.52,11.0
OUT-5159,MCH-SHOTPEEN-01,SKU-LS-HINO-01,3,2026-07-08 00:00:00,597,47.3,9.0
OUT-5160,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-07 08:00:00,569,49.31,11.8
OUT-5161,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-07 16:00:00,621,46.08,2.4
OUT-5162,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-08 00:00:00,655,43.34,6.2
OUT-5163,MCH-STABILIZER-01,SKU-SB-AVANZA-02,1,2026-07-07 08:00:00,666,39.43,6.4
OUT-5164,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2,2026-07-07 16:00:00,645,44.22,4.2
OUT-5165,MCH-STABILIZER-01,SKU-SB-AVANZA-02,3,2026-07-08 00:00:00,605,42.71,21.7
OUT-5166,MCH-TESTING-01,SKU-LS-HINO-01,1,2026-07-07 08:00:00,588,48.0,9.5
OUT-5167,MCH-TESTING-01,SKU-LS-HINO-01,2,2026-07-07 16:00:00,564,49.99,9.9
OUT-5168,MCH-TESTING-01,SKU-LS-HINO-01,3,2026-07-08 00:00:00,605,44.34,12.1
OUT-5169,MCH-COILING-01,SKU-CS-HONDA-02,1,2026-07-08 08:00:00,951,28.3,6.0
OUT-5170,MCH-COILING-01,SKU-CS-HONDA-02,2,2026-07-08 16:00:00,960,29.68,4.8
OUT-5171,MCH-COILING-01,SKU-CS-HONDA-02,3,2026-07-09 00:00:00,999,27.34,24.7
OUT-5172,MCH-COILING-02,SKU-CS-TOYOTA-01,1,2026-07-08 08:00:00,805,33.24,5.9
OUT-5173,MCH-COILING-02,SKU-CS-TOYOTA-01,2,2026-07-08 16:00:00,856,33.04,8.4
OUT-5174,MCH-COILING-02,SKU-CS-TOYOTA-01,3,2026-07-09 00:00:00,855,31.25,14.0
OUT-5175,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-08 08:00:00,587,48.51,5.1
OUT-5176,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-08 16:00:00,586,44.91,8.4
OUT-5177,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-09 00:00:00,588,47.83,10.6
OUT-5178,MCH-TEMPERING-01,SKU-LS-ISUZU-02,1,2026-07-08 08:00:00,505,55.82,9.3
OUT-5179,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2,2026-07-08 16:00:00,516,54.76,9.0
OUT-5180,MCH-TEMPERING-01,SKU-LS-ISUZU-02,3,2026-07-09 00:00:00,471,60.45,5.1
OUT-5181,MCH-SHOTPEEN-01,SKU-LS-HINO-01,1,2026-07-08 08:00:00,631,44.67,10.0
OUT-5182,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2,2026-07-08 16:00:00,641,44.47,4.4
OUT-5183,MCH-SHOTPEEN-01,SKU-LS-HINO-01,3,2026-07-09 00:00:00,588,46.66,22.2
OUT-5184,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-08 08:00:00,611,46.32,8.1
OUT-5185,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-08 16:00:00,530,49.84,9.6
OUT-5186,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-09 00:00:00,615,45.94,8.5
OUT-5187,MCH-STABILIZER-01,SKU-SB-AVANZA-02,1,2026-07-08 08:00:00,643,41.6,2.1
OUT-5188,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2,2026-07-08 16:00:00,659,43.15,5.9
OUT-5189,MCH-STABILIZER-01,SKU-SB-AVANZA-02,3,2026-07-09 00:00:00,630,39.44,23.6
OUT-5190,MCH-TESTING-01,SKU-LS-ISUZU-02,1,2026-07-08 08:00:00,479,58.93,8.9
OUT-5191,MCH-TESTING-01,SKU-LS-ISUZU-02,2,2026-07-08 16:00:00,478,59.96,2.3
OUT-5192,MCH-TESTING-01,SKU-LS-ISUZU-02,3,2026-07-09 00:00:00,475,58.79,14.1
OUT-5193,MCH-COILING-01,SKU-CS-HONDA-02,1,2026-07-09 08:00:00,988,28.94,3.4
OUT-5194,MCH-COILING-01,SKU-CS-HONDA-02,2,2026-07-09 16:00:00,1041,27.5,2.6
OUT-5195,MCH-COILING-01,SKU-CS-HONDA-02,3,2026-07-10 00:00:00,1032,27.12,13.5
OUT-5196,MCH-COILING-02,SKU-CS-TOYOTA-01,1,2026-07-09 08:00:00,981,29.17,2.8
OUT-5197,MCH-COILING-02,SKU-CS-TOYOTA-01,2,2026-07-09 16:00:00,963,29.47,6.7
OUT-5198,MCH-COILING-02,SKU-CS-TOYOTA-01,3,2026-07-10 00:00:00,863,32.55,11.7
OUT-5199,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-09 08:00:00,376,50.21,3.6
OUT-5200,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-09 16:00:00,622,46.02,2.6
OUT-5201,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-10 00:00:00,614,45.45,14.4
OUT-5202,MCH-TEMPERING-01,SKU-LS-HINO-01,1,2026-07-09 08:00:00,649,43.98,3.9
OUT-5203,MCH-TEMPERING-01,SKU-LS-HINO-01,2,2026-07-09 16:00:00,568,47.5,2.7
OUT-5204,MCH-TEMPERING-01,SKU-LS-HINO-01,3,2026-07-10 00:00:00,566,49.89,9.0
OUT-5205,MCH-SHOTPEEN-01,SKU-LS-HINO-01,1,2026-07-09 08:00:00,481,50.21,9.3
OUT-5206,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2,2026-07-09 16:00:00,606,46.82,7.0
OUT-5207,MCH-SHOTPEEN-01,SKU-LS-HINO-01,3,2026-07-10 00:00:00,641,44.36,5.7
OUT-5208,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-09 08:00:00,580,48.74,8.5
OUT-5209,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-09 16:00:00,602,46.97,8.1
OUT-5210,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-10 00:00:00,568,49.36,12.2
OUT-5211,MCH-STABILIZER-01,SKU-SB-CANTER-01,1,2026-07-09 08:00:00,427,59.23,6.5
OUT-5212,MCH-STABILIZER-01,SKU-SB-CANTER-01,2,2026-07-09 16:00:00,482,59.32,2.9
OUT-5213,MCH-STABILIZER-01,SKU-SB-CANTER-01,3,2026-07-10 00:00:00,420,66.47,13.8
OUT-5214,MCH-TESTING-01,SKU-LS-HINO-01,1,2026-07-09 08:00:00,596,47.66,6.1
OUT-5215,MCH-TESTING-01,SKU-LS-HINO-01,2,2026-07-09 16:00:00,612,45.89,11.5
OUT-5216,MCH-TESTING-01,SKU-LS-HINO-01,3,2026-07-10 00:00:00,627,43.51,24.8
OUT-5217,MCH-COILING-01,SKU-CS-TOYOTA-01,1,2026-07-10 08:00:00,964,29.3,9.2
OUT-5218,MCH-COILING-01,SKU-CS-TOYOTA-01,2,2026-07-10 16:00:00,841,33.46,10.5
OUT-5219,MCH-COILING-01,SKU-CS-TOYOTA-01,3,2026-07-11 00:00:00,856,32.34,18.6
OUT-5220,MCH-COILING-02,SKU-CS-TOYOTA-01,1,2026-07-10 08:00:00,925,30.9,3.4
OUT-5221,MCH-COILING-02,SKU-CS-TOYOTA-01,2,2026-07-10 16:00:00,857,33.21,5.4
OUT-5222,MCH-COILING-02,SKU-CS-TOYOTA-01,3,2026-07-11 00:00:00,835,33.06,19.9
OUT-5223,MCH-HEATTREAT-01,SKU-LS-HINO-01,1,2026-07-10 08:00:00,459,49.96,2.8
OUT-5224,MCH-HEATTREAT-01,SKU-LS-HINO-01,2,2026-07-10 16:00:00,626,45.38,6.4
OUT-5225,MCH-HEATTREAT-01,SKU-LS-HINO-01,3,2026-07-11 00:00:00,590,46.82,19.0
OUT-5226,MCH-TEMPERING-01,SKU-LS-ISUZU-02,1,2026-07-10 08:00:00,465,61.39,3.4
OUT-5227,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2,2026-07-10 16:00:00,480,54.87,2.4
OUT-5228,MCH-TEMPERING-01,SKU-LS-ISUZU-02,3,2026-07-11 00:00:00,473,60.16,5.4
OUT-5229,MCH-SHOTPEEN-01,SKU-LS-HINO-01,1,2026-07-10 08:00:00,623,45.95,2.2
OUT-5230,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2,2026-07-10 16:00:00,631,45.4,2.5
OUT-5231,MCH-SHOTPEEN-01,SKU-LS-HINO-01,3,2026-07-11 00:00:00,571,49.16,11.7
OUT-5232,MCH-PRESS-01,SKU-LS-HINO-01,1,2026-07-10 08:00:00,614,46.28,6.3
OUT-5233,MCH-PRESS-01,SKU-LS-HINO-01,2,2026-07-10 16:00:00,566,50.06,7.5
OUT-5234,MCH-PRESS-01,SKU-LS-HINO-01,3,2026-07-11 00:00:00,588,47.29,16.5
OUT-5235,MCH-STABILIZER-01,SKU-SB-AVANZA-02,1,2026-07-10 08:00:00,658,43.52,2.2
OUT-5236,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2,2026-07-10 16:00:00,733,38.65,7.7
OUT-5237,MCH-STABILIZER-01,SKU-SB-AVANZA-02,3,2026-07-11 00:00:00,708,39.2,17.2
OUT-5238,MCH-TESTING-01,SKU-LS-HINO-01,1,2026-07-10 08:00:00,570,47.79,5.6
