inspection_id,machine_id,sku_id,inspection_time,total_inspected_qty,good_qty,reject_qty,rework_qty,defect_reason_category
QC-7084,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-05 00:00:00,489,463,26,7,Free Height Dimension Out-of-Spec
QC-7085,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-04 08:00:00,526,520,6,1,Surface Micro-Crack Defect
QC-7086,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-04 16:00:00,464,459,5,1,Free Height Dimension Out-of-Spec
QC-7087,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-05 00:00:00,495,481,14,4,Surface Micro-Crack Defect
QC-7088,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-04 08:00:00,577,561,16,5,Bending Angle Angular Deviation
QC-7089,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-04 16:00:00,640,623,17,3,Free Height Dimension Out-of-Spec
QC-7090,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-05 00:00:00,544,515,29,11,Surface Micro-Crack Defect
QC-7091,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-04 08:00:00,452,442,10,4,Bending Angle Angular Deviation
QC-7092,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-04 16:00:00,410,388,22,8,Shot Peening Surface Roughness Fail
QC-7093,MCH-STABILIZER-01,SKU-SB-CANTER-01,2026-07-05 00:00:00,438,426,12,4,Bending Angle Angular Deviation
QC-7094,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-04 08:00:00,639,620,19,8,Shot Peening Surface Roughness Fail
QC-7095,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-04 16:00:00,527,499,28,12,Quenching Hardness Non-Conforming
QC-7096,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-05 00:00:00,616,605,11,3,Shot Peening Surface Roughness Fail
QC-7097,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-05 08:00:00,939,920,19,4,Free Height Dimension Out-of-Spec
QC-7098,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-05 16:00:00,984,955,29,10,Bending Angle Angular Deviation
QC-7099,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-06 00:00:00,819,774,45,21,Quenching Hardness Non-Conforming
QC-7100,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-05 08:00:00,967,945,22,6,Shot Peening Surface Roughness Fail
QC-7101,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-05 16:00:00,863,844,19,4,Bending Angle Angular Deviation
QC-7102,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-06 00:00:00,855,836,19,6,Surface Micro-Crack Defect
QC-7103,MCH-HEATTREAT-01,SKU-LS-ISUZU-02,2026-07-05 08:00:00,511,496,15,7,Shot Peening Surface Roughness Fail
QC-7104,MCH-HEATTREAT-01,SKU-LS-ISUZU-02,2026-07-05 16:00:00,473,462,11,3,Shot Peening Surface Roughness Fail
QC-7105,MCH-HEATTREAT-01,SKU-LS-ISUZU-02,2026-07-06 00:00:00,471,457,14,3,Quenching Hardness Non-Conforming
QC-7106,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-05 08:00:00,521,512,9,2,Surface Micro-Crack Defect
QC-7107,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-05 16:00:00,485,459,26,12,Free Height Dimension Out-of-Spec
QC-7108,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-06 00:00:00,466,441,25,8,Shot Peening Surface Roughness Fail
QC-7109,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-05 08:00:00,470,458,12,5,Quenching Hardness Non-Conforming
QC-7110,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-05 16:00:00,479,464,15,6,Quenching Hardness Non-Conforming
QC-7111,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-06 00:00:00,532,522,10,4,Shot Peening Surface Roughness Fail
QC-7112,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-05 08:00:00,637,620,17,6,Free Height Dimension Out-of-Spec
QC-7113,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-05 16:00:00,583,566,17,6,Bending Angle Angular Deviation
QC-7114,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-06 00:00:00,636,617,19,6,Shot Peening Surface Roughness Fail
QC-7115,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-05 08:00:00,636,621,15,7,Surface Micro-Crack Defect
QC-7116,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-05 16:00:00,696,684,12,4,Bending Angle Angular Deviation
QC-7117,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-06 00:00:00,632,618,14,4,Quenching Hardness Non-Conforming
QC-7118,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-05 08:00:00,506,497,9,2,Surface Micro-Crack Defect
QC-7119,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-05 16:00:00,452,428,24,8,Shot Peening Surface Roughness Fail
QC-7120,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-06 00:00:00,508,501,7,2,Shot Peening Surface Roughness Fail
QC-7121,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-06 08:00:00,893,872,21,10,Shot Peening Surface Roughness Fail
QC-7122,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-06 16:00:00,704,666,38,8,Shot Peening Surface Roughness Fail
QC-7123,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-07 00:00:00,938,917,21,9,Free Height Dimension Out-of-Spec
QC-7124,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-06 08:00:00,841,818,23,6,Shot Peening Surface Roughness Fail
QC-7125,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-06 16:00:00,852,838,14,2,Free Height Dimension Out-of-Spec
QC-7126,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-07 00:00:00,961,941,20,8,Shot Peening Surface Roughness Fail
QC-7127,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-06 08:00:00,589,557,32,12,Surface Micro-Crack Defect
QC-7128,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-06 16:00:00,585,576,9,3,Shot Peening Surface Roughness Fail
QC-7129,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-07 00:00:00,587,572,15,6,Shot Peening Surface Roughness Fail
QC-7130,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-06 08:00:00,658,647,11,2,Shot Peening Surface Roughness Fail
QC-7131,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-06 16:00:00,572,553,19,6,Bending Angle Angular Deviation
QC-7132,MCH-TEMPERING-01,SKU-LS-HINO-01,2026-07-07 00:00:00,613,603,10,4,Bending Angle Angular Deviation
QC-7133,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-06 08:00:00,404,382,22,9,Bending Angle Angular Deviation
QC-7134,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-06 16:00:00,422,399,23,10,Bending Angle Angular Deviation
QC-7135,MCH-SHOTPEEN-01,SKU-LS-ISUZU-02,2026-07-07 00:00:00,406,384,22,6,Surface Micro-Crack Defect
QC-7136,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-06 08:00:00,570,539,31,10,Surface Micro-Crack Defect
QC-7137,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-06 16:00:00,642,623,19,9,Free Height Dimension Out-of-Spec
QC-7138,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-07 00:00:00,620,607,13,4,Free Height Dimension Out-of-Spec
QC-7139,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-06 08:00:00,706,693,13,4,Shot Peening Surface Roughness Fail
QC-7140,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-06 16:00:00,685,677,8,3,Shot Peening Surface Roughness Fail
QC-7141,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-07 00:00:00,617,584,33,8,Shot Peening Surface Roughness Fail
QC-7142,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-06 08:00:00,623,613,10,4,Quenching Hardness Non-Conforming
QC-7143,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-06 16:00:00,590,572,18,7,Quenching Hardness Non-Conforming
QC-7144,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-07 00:00:00,632,615,17,4,Surface Micro-Crack Defect
QC-7145,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-07 08:00:00,921,910,11,3,Bending Angle Angular Deviation
QC-7146,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-07 16:00:00,849,829,20,7,Quenching Hardness Non-Conforming
QC-7147,MCH-COILING-01,SKU-CS-TOYOTA-01,2026-07-08 00:00:00,881,868,13,3,Surface Micro-Crack Defect
QC-7148,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-07 08:00:00,982,970,12,2,Bending Angle Angular Deviation
QC-7149,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-07 16:00:00,880,853,27,8,Shot Peening Surface Roughness Fail
QC-7150,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-08 00:00:00,868,821,47,11,Bending Angle Angular Deviation
QC-7151,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-07 08:00:00,609,593,16,6,Surface Micro-Crack Defect
QC-7152,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-07 16:00:00,630,622,8,3,Surface Micro-Crack Defect
QC-7153,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-08 00:00:00,644,635,9,2,Bending Angle Angular Deviation
QC-7154,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-07 08:00:00,483,472,11,4,Shot Peening Surface Roughness Fail
QC-7155,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-07 16:00:00,480,470,10,2,Free Height Dimension Out-of-Spec
QC-7156,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-08 00:00:00,480,454,26,5,Bending Angle Angular Deviation
QC-7157,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-07 08:00:00,632,621,11,3,Bending Angle Angular Deviation
QC-7158,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-07 16:00:00,579,567,12,4,Quenching Hardness Non-Conforming
QC-7159,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-08 00:00:00,597,579,18,3,Quenching Hardness Non-Conforming
QC-7160,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-07 08:00:00,569,553,16,6,Shot Peening Surface Roughness Fail
QC-7161,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-07 16:00:00,621,607,14,5,Bending Angle Angular Deviation
QC-7162,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-08 00:00:00,655,639,16,5,Surface Micro-Crack Defect
QC-7163,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-07 08:00:00,666,630,36,15,Bending Angle Angular Deviation
QC-7164,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-07 16:00:00,645,633,12,4,Bending Angle Angular Deviation
QC-7165,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-08 00:00:00,605,572,33,13,Bending Angle Angular Deviation
QC-7166,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-07 08:00:00,588,580,8,2,Shot Peening Surface Roughness Fail
QC-7167,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-07 16:00:00,564,551,13,3,Shot Peening Surface Roughness Fail
QC-7168,MCH-TESTING-01,SKU-LS-HINO-01,2026-07-08 00:00:00,605,572,33,14,Shot Peening Surface Roughness Fail
QC-7169,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-08 08:00:00,951,899,52,16,Bending Angle Angular Deviation
QC-7170,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-08 16:00:00,960,948,12,5,Bending Angle Angular Deviation
QC-7171,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-09 00:00:00,999,975,24,11,Shot Peening Surface Roughness Fail
QC-7172,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-08 08:00:00,805,761,44,18,Free Height Dimension Out-of-Spec
QC-7173,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-08 16:00:00,856,840,16,7,Bending Angle Angular Deviation
QC-7174,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-09 00:00:00,855,808,47,19,Shot Peening Surface Roughness Fail
QC-7175,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-08 08:00:00,587,570,17,6,Quenching Hardness Non-Conforming
QC-7176,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-08 16:00:00,586,554,32,13,Bending Angle Angular Deviation
QC-7177,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-09 00:00:00,588,571,17,6,Bending Angle Angular Deviation
QC-7178,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-08 08:00:00,505,497,8,1,Free Height Dimension Out-of-Spec
QC-7179,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-08 16:00:00,516,500,16,5,Free Height Dimension Out-of-Spec
QC-7180,MCH-TEMPERING-01,SKU-LS-ISUZU-02,2026-07-09 00:00:00,471,465,6,1,Free Height Dimension Out-of-Spec
QC-7181,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-08 08:00:00,631,617,14,4,Bending Angle Angular Deviation
QC-7182,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-08 16:00:00,641,630,11,3,Bending Angle Angular Deviation
QC-7183,MCH-SHOTPEEN-01,SKU-LS-HINO-01,2026-07-09 00:00:00,588,569,19,5,Bending Angle Angular Deviation
QC-7184,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-08 08:00:00,611,602,9,4,Bending Angle Angular Deviation
QC-7185,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-08 16:00:00,530,501,29,10,Free Height Dimension Out-of-Spec
QC-7186,MCH-PRESS-01,SKU-LS-HINO-01,2026-07-09 00:00:00,615,604,11,3,Shot Peening Surface Roughness Fail
QC-7187,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-08 08:00:00,643,608,35,14,Bending Angle Angular Deviation
QC-7188,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-08 16:00:00,659,646,13,3,Shot Peening Surface Roughness Fail
QC-7189,MCH-STABILIZER-01,SKU-SB-AVANZA-02,2026-07-09 00:00:00,630,596,34,14,Surface Micro-Crack Defect
QC-7190,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-08 08:00:00,479,467,12,5,Free Height Dimension Out-of-Spec
QC-7191,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-08 16:00:00,478,466,12,4,Free Height Dimension Out-of-Spec
QC-7192,MCH-TESTING-01,SKU-LS-ISUZU-02,2026-07-09 00:00:00,475,467,8,3,Free Height Dimension Out-of-Spec
QC-7193,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-09 08:00:00,988,958,30,10,Bending Angle Angular Deviation
QC-7194,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-09 16:00:00,1041,1006,35,14,Bending Angle Angular Deviation
QC-7195,MCH-COILING-01,SKU-CS-HONDA-02,2026-07-10 00:00:00,1032,1018,14,5,Bending Angle Angular Deviation
QC-7196,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-09 08:00:00,981,957,24,10,Free Height Dimension Out-of-Spec
QC-7197,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-09 16:00:00,963,940,23,11,Bending Angle Angular Deviation
QC-7198,MCH-COILING-02,SKU-CS-TOYOTA-01,2026-07-10 00:00:00,863,839,24,6,Free Height Dimension Out-of-Spec
QC-7199,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-09 08:00:00,376,356,20,7,Free Height Dimension Out-of-Spec
QC-7200,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-09 16:00:00,622,603,19,9,Shot Peening Surface Roughness Fail
QC-7201,MCH-HEATTREAT-01,SKU-LS-HINO-01,2026-07-10 00:00:00,614,598,16,7,Free Height Dimension Out-of-Spec
