manpower_log_id,log_date,shift_number,line_id,operator_headcount,total_working_hours,effective_working_hours
MP-20260702-LINE-COIL-01-S3,2026-07-02,3,LINE-COIL-01,10,8.0,7.29
MP-20260702-LINE-STABILIZER-01-S1,2026-07-02,1,LINE-STABILIZER-01,8,8.0,7.72
MP-20260702-LINE-STABILIZER-01-S2,2026-07-02,2,LINE-STABILIZER-01,8,8.0,7.89
MP-20260702-LINE-STABILIZER-01-S3,2026-07-02,3,LINE-STABILIZER-01,8,8.0,7.25
MP-20260703-LINE-SPRING-01-S1,2026-07-03,1,LINE-SPRING-01,12,8.0,7.66
MP-20260703-LINE-SPRING-01-S2,2026-07-03,2,LINE-SPRING-01,12,8.0,7.88
MP-20260703-LINE-SPRING-01-S3,2026-07-03,3,LINE-SPRING-01,12,8.0,7.41
MP-20260703-LINE-SPRING-02-S1,2026-07-03,1,LINE-SPRING-02,8,8.0,7.68
MP-20260703-LINE-SPRING-02-S2,2026-07-03,2,LINE-SPRING-02,8,8.0,7.79
MP-20260703-LINE-SPRING-02-S3,2026-07-03,3,LINE-SPRING-02,8,8.0,7.6
MP-20260703-LINE-COIL-01-S1,2026-07-03,1,LINE-COIL-01,12,8.0,7.77
MP-20260703-LINE-COIL-01-S2,2026-07-03,2,LINE-COIL-01,12,8.0,7.87
MP-20260703-LINE-COIL-01-S3,2026-07-03,3,LINE-COIL-01,12,8.0,7.51
MP-20260703-LINE-STABILIZER-01-S1,2026-07-03,1,LINE-STABILIZER-01,7,8.0,7.73
MP-20260703-LINE-STABILIZER-01-S2,2026-07-03,2,LINE-STABILIZER-01,7,8.0,7.87
MP-20260703-LINE-STABILIZER-01-S3,2026-07-03,3,LINE-STABILIZER-01,8,8.0,7.42
MP-20260704-LINE-SPRING-01-S1,2026-07-04,1,LINE-SPRING-01,12,8.0,7.67
MP-20260704-LINE-SPRING-01-S2,2026-07-04,2,LINE-SPRING-01,11,8.0,7.8
MP-20260704-LINE-SPRING-01-S3,2026-07-04,3,LINE-SPRING-01,12,8.0,7.44
MP-20260704-LINE-SPRING-02-S1,2026-07-04,1,LINE-SPRING-02,8,8.0,7.9
MP-20260704-LINE-SPRING-02-S2,2026-07-04,2,LINE-SPRING-02,8,8.0,7.84
MP-20260704-LINE-SPRING-02-S3,2026-07-04,3,LINE-SPRING-02,8,8.0,7.31
MP-20260704-LINE-COIL-01-S1,2026-07-04,1,LINE-COIL-01,12,8.0,7.75
MP-20260704-LINE-COIL-01-S2,2026-07-04,2,LINE-COIL-01,12,8.0,7.86
MP-20260704-LINE-COIL-01-S3,2026-07-04,3,LINE-COIL-01,11,8.0,7.28
MP-20260704-LINE-STABILIZER-01-S1,2026-07-04,1,LINE-STABILIZER-01,7,8.0,7.77
MP-20260704-LINE-STABILIZER-01-S2,2026-07-04,2,LINE-STABILIZER-01,7,8.0,7.79
MP-20260704-LINE-STABILIZER-01-S3,2026-07-04,3,LINE-STABILIZER-01,8,8.0,7.33
MP-20260705-LINE-SPRING-01-S1,2026-07-05,1,LINE-SPRING-01,12,8.0,7.88
MP-20260705-LINE-SPRING-01-S2,2026-07-05,2,LINE-SPRING-01,11,8.0,7.88
MP-20260705-LINE-SPRING-01-S3,2026-07-05,3,LINE-SPRING-01,11,8.0,7.51
MP-20260705-LINE-SPRING-02-S1,2026-07-05,1,LINE-SPRING-02,8,8.0,7.65
MP-20260705-LINE-SPRING-02-S2,2026-07-05,2,LINE-SPRING-02,8,8.0,7.86
MP-20260705-LINE-SPRING-02-S3,2026-07-05,3,LINE-SPRING-02,8,8.0,7.41
MP-20260705-LINE-COIL-01-S1,2026-07-05,1,LINE-COIL-01,11,8.0,7.83
MP-20260705-LINE-COIL-01-S2,2026-07-05,2,LINE-COIL-01,12,8.0,7.84
MP-20260705-LINE-COIL-01-S3,2026-07-05,3,LINE-COIL-01,12,8.0,7.34
MP-20260705-LINE-STABILIZER-01-S1,2026-07-05,1,LINE-STABILIZER-01,8,8.0,7.76
MP-20260705-LINE-STABILIZER-01-S2,2026-07-05,2,LINE-STABILIZER-01,8,8.0,7.62
MP-20260705-LINE-STABILIZER-01-S3,2026-07-05,3,LINE-STABILIZER-01,8,8.0,7.29
MP-20260706-LINE-SPRING-01-S1,2026-07-06,1,LINE-SPRING-01,11,8.0,7.7
MP-20260706-LINE-SPRING-01-S2,2026-07-06,2,LINE-SPRING-01,12,8.0,7.69
MP-20260706-LINE-SPRING-01-S3,2026-07-06,3,LINE-SPRING-01,12,8.0,7.28
MP-20260706-LINE-SPRING-02-S1,2026-07-06,1,LINE-SPRING-02,8,8.0,7.75
MP-20260706-LINE-SPRING-02-S2,2026-07-06,2,LINE-SPRING-02,7,8.0,7.68
MP-20260706-LINE-SPRING-02-S3,2026-07-06,3,LINE-SPRING-02,8,8.0,7.58
MP-20260706-LINE-COIL-01-S1,2026-07-06,1,LINE-COIL-01,12,8.0,7.68
MP-20260706-LINE-COIL-01-S2,2026-07-06,2,LINE-COIL-01,12,8.0,7.75
MP-20260706-LINE-COIL-01-S3,2026-07-06,3,LINE-COIL-01,12,8.0,7.2
MP-20260706-LINE-STABILIZER-01-S1,2026-07-06,1,LINE-STABILIZER-01,8,8.0,7.75
MP-20260706-LINE-STABILIZER-01-S2,2026-07-06,2,LINE-STABILIZER-01,7,8.0,7.61
MP-20260706-LINE-STABILIZER-01-S3,2026-07-06,3,LINE-STABILIZER-01,8,8.0,7.58
MP-20260707-LINE-SPRING-01-S1,2026-07-07,1,LINE-SPRING-01,12,8.0,7.85
MP-20260707-LINE-SPRING-01-S2,2026-07-07,2,LINE-SPRING-01,11,8.0,7.87
MP-20260707-LINE-SPRING-01-S3,2026-07-07,3,LINE-SPRING-01,12,8.0,7.52
MP-20260707-LINE-SPRING-02-S1,2026-07-07,1,LINE-SPRING-02,7,8.0,7.81
MP-20260707-LINE-SPRING-02-S2,2026-07-07,2,LINE-SPRING-02,8,8.0,7.86
MP-20260707-LINE-SPRING-02-S3,2026-07-07,3,LINE-SPRING-02,7,8.0,7.2
MP-20260707-LINE-COIL-01-S1,2026-07-07,1,LINE-COIL-01,12,8.0,7.63
MP-20260707-LINE-COIL-01-S2,2026-07-07,2,LINE-COIL-01,12,8.0,7.79
MP-20260707-LINE-COIL-01-S3,2026-07-07,3,LINE-COIL-01,12,8.0,7.18
MP-20260707-LINE-STABILIZER-01-S1,2026-07-07,1,LINE-STABILIZER-01,8,8.0,7.75
MP-20260707-LINE-STABILIZER-01-S2,2026-07-07,2,LINE-STABILIZER-01,7,8.0,7.76
MP-20260707-LINE-STABILIZER-01-S3,2026-07-07,3,LINE-STABILIZER-01,6,8.0,7.3
MP-20260708-LINE-SPRING-01-S1,2026-07-08,1,LINE-SPRING-01,12,8.0,7.79
MP-20260708-LINE-SPRING-01-S2,2026-07-08,2,LINE-SPRING-01,12,8.0,7.84
MP-20260708-LINE-SPRING-01-S3,2026-07-08,3,LINE-SPRING-01,12,8.0,7.39
MP-20260708-LINE-SPRING-02-S1,2026-07-08,1,LINE-SPRING-02,8,8.0,7.8
MP-20260708-LINE-SPRING-02-S2,2026-07-08,2,LINE-SPRING-02,8,8.0,7.7
MP-20260708-LINE-SPRING-02-S3,2026-07-08,3,LINE-SPRING-02,8,8.0,7.49
MP-20260708-LINE-COIL-01-S1,2026-07-08,1,LINE-COIL-01,12,8.0,7.66
MP-20260708-LINE-COIL-01-S2,2026-07-08,2,LINE-COIL-01,12,8.0,7.68
MP-20260708-LINE-COIL-01-S3,2026-07-08,3,LINE-COIL-01,12,8.0,7.39
MP-20260708-LINE-STABILIZER-01-S1,2026-07-08,1,LINE-STABILIZER-01,8,8.0,7.66
MP-20260708-LINE-STABILIZER-01-S2,2026-07-08,2,LINE-STABILIZER-01,8,8.0,7.73
MP-20260708-LINE-STABILIZER-01-S3,2026-07-08,3,LINE-STABILIZER-01,8,8.0,7.29
MP-20260709-LINE-SPRING-01-S1,2026-07-09,1,LINE-SPRING-01,12,8.0,7.86
MP-20260709-LINE-SPRING-01-S2,2026-07-09,2,LINE-SPRING-01,12,8.0,7.79
MP-20260709-LINE-SPRING-01-S3,2026-07-09,3,LINE-SPRING-01,10,8.0,7.35
MP-20260709-LINE-SPRING-02-S1,2026-07-09,1,LINE-SPRING-02,7,8.0,7.74
MP-20260709-LINE-SPRING-02-S2,2026-07-09,2,LINE-SPRING-02,8,8.0,7.78
MP-20260709-LINE-SPRING-02-S3,2026-07-09,3,LINE-SPRING-02,6,8.0,7.24
MP-20260709-LINE-COIL-01-S1,2026-07-09,1,LINE-COIL-01,12,8.0,7.69
MP-20260709-LINE-COIL-01-S2,2026-07-09,2,LINE-COIL-01,12,8.0,7.79
MP-20260709-LINE-COIL-01-S3,2026-07-09,3,LINE-COIL-01,12,8.0,7.1
MP-20260709-LINE-STABILIZER-01-S1,2026-07-09,1,LINE-STABILIZER-01,8,8.0,7.79
MP-20260709-LINE-STABILIZER-01-S2,2026-07-09,2,LINE-STABILIZER-01,7,8.0,7.61
MP-20260709-LINE-STABILIZER-01-S3,2026-07-09,3,LINE-STABILIZER-01,8,8.0,7.57
MP-20260710-LINE-SPRING-01-S1,2026-07-10,1,LINE-SPRING-01,11,8.0,7.71
MP-20260710-LINE-SPRING-01-S2,2026-07-10,2,LINE-SPRING-01,12,8.0,7.73
MP-20260710-LINE-SPRING-01-S3,2026-07-10,3,LINE-SPRING-01,12,8.0,7.27
MP-20260710-LINE-SPRING-02-S1,2026-07-10,1,LINE-SPRING-02,8,8.0,7.8
MP-20260710-LINE-SPRING-02-S2,2026-07-10,2,LINE-SPRING-02,8,8.0,7.84
MP-20260710-LINE-SPRING-02-S3,2026-07-10,3,LINE-SPRING-02,8,8.0,7.53
MP-20260710-LINE-COIL-01-S1,2026-07-10,1,LINE-COIL-01,12,8.0,7.62
MP-20260710-LINE-COIL-01-S2,2026-07-10,2,LINE-COIL-01,12,8.0,7.83
MP-20260710-LINE-COIL-01-S3,2026-07-10,3,LINE-COIL-01,12,8.0,7.2
MP-20260710-LINE-STABILIZER-01-S1,2026-07-10,1,LINE-STABILIZER-01,8,8.0,7.8
MP-20260710-LINE-STABILIZER-01-S2,2026-07-10,2,LINE-STABILIZER-01,8,8.0,7.62
MP-20260710-LINE-STABILIZER-01-S3,2026-07-10,3,LINE-STABILIZER-01,6,8.0,7.23
MP-20260711-LINE-SPRING-01-S1,2026-07-11,1,LINE-SPRING-01,11,8.0,7.69
MP-20260711-LINE-SPRING-01-S2,2026-07-11,2,LINE-SPRING-01,12,8.0,7.62
MP-20260711-LINE-SPRING-01-S3,2026-07-11,3,LINE-SPRING-01,10,8.0,7.32
MP-20260711-LINE-SPRING-02-S1,2026-07-11,1,LINE-SPRING-02,8,8.0,7.88
MP-20260711-LINE-SPRING-02-S2,2026-07-11,2,LINE-SPRING-02,8,8.0,7.89
MP-20260711-LINE-SPRING-02-S3,2026-07-11,3,LINE-SPRING-02,6,8.0,7.11
MP-20260711-LINE-COIL-01-S1,2026-07-11,1,LINE-COIL-01,12,8.0,7.79
MP-20260711-LINE-COIL-01-S2,2026-07-11,2,LINE-COIL-01,12,8.0,7.8
MP-20260711-LINE-COIL-01-S3,2026-07-11,3,LINE-COIL-01,12,8.0,7.39
MP-20260711-LINE-STABILIZER-01-S1,2026-07-11,1,LINE-STABILIZER-01,8,8.0,7.84
MP-20260711-LINE-STABILIZER-01-S2,2026-07-11,2,LINE-STABILIZER-01,8,8.0,7.68
MP-20260711-LINE-STABILIZER-01-S3,2026-07-11,3,LINE-STABILIZER-01,8,8.0,7.18
MP-20260712-LINE-SPRING-01-S1,2026-07-12,1,LINE-SPRING-01,11,8.0,7.66
MP-20260712-LINE-SPRING-01-S2,2026-07-12,2,LINE-SPRING-01,11,8.0,7.69
MP-20260712-LINE-SPRING-01-S3,2026-07-12,3,LINE-SPRING-01,12,8.0,7.18
MP-20260712-LINE-SPRING-02-S1,2026-07-12,1,LINE-SPRING-02,8,8.0,7.87
MP-20260712-LINE-SPRING-02-S2,2026-07-12,2,LINE-SPRING-02,8,8.0,7.85
MP-20260712-LINE-SPRING-02-S3,2026-07-12,3,LINE-SPRING-02,7,8.0,7.16
MP-20260712-LINE-COIL-01-S1,2026-07-12,1,LINE-COIL-01,11,8.0,7.87
MP-20260712-LINE-COIL-01-S2,2026-07-12,2,LINE-COIL-01,12,8.0,7.78
MP-20260712-LINE-COIL-01-S3,2026-07-12,3,LINE-COIL-01,12,8.0,7.42
MP-20260712-LINE-STABILIZER-01-S1,2026-07-12,1,LINE-STABILIZER-01,8,8.0,7.8
MP-20260712-LINE-STABILIZER-01-S2,2026-07-12,2,LINE-STABILIZER-01,8,8.0,7.74
MP-20260712-LINE-STABILIZER-01-S3,2026-07-12,3,LINE-STABILIZER-01,8,8.0,7.16
MP-20260713-LINE-SPRING-01-S1,2026-07-13,1,LINE-SPRING-01,12,8.0,7.87
MP-20260713-LINE-SPRING-01-S2,2026-07-13,2,LINE-SPRING-01,12,8.0,7.86
MP-20260713-LINE-SPRING-01-S3,2026-07-13,3,LINE-SPRING-01,10,8.0,7.32
MP-20260713-LINE-SPRING-02-S1,2026-07-13,1,LINE-SPRING-02,7,8.0,7.75
MP-20260713-LINE-SPRING-02-S2,2026-07-13,2,LINE-SPRING-02,7,8.0,7.89
MP-20260713-LINE-SPRING-02-S3,2026-07-13,3,LINE-SPRING-02,6,8.0,7.15
MP-20260713-LINE-COIL-01-S1,2026-07-13,1,LINE-COIL-01,12,8.0,7.71
MP-20260713-LINE-COIL-01-S2,2026-07-13,2,LINE-COIL-01,12,8.0,7.77
MP-20260713-LINE-COIL-01-S3,2026-07-13,3,LINE-COIL-01,12,8.0,7.46
MP-20260713-LINE-STABILIZER-01-S1,2026-07-13,1,LINE-STABILIZER-01,7,8.0,7.88
MP-20260713-LINE-STABILIZER-01-S2,2026-07-13,2,LINE-STABILIZER-01,8,8.0,7.82
MP-20260713-LINE-STABILIZER-01-S3,2026-07-13,3,LINE-STABILIZER-01,8,8.0,7.36
MP-20260714-LINE-SPRING-01-S1,2026-07-14,1,LINE-SPRING-01,12,8.0,7.79
MP-20260714-LINE-SPRING-01-S2,2026-07-14,2,LINE-SPRING-01,12,8.0,7.74
MP-20260714-LINE-SPRING-01-S3,2026-07-14,3,LINE-SPRING-01,11,8.0,7.49
MP-20260714-LINE-SPRING-02-S1,2026-07-14,1,LINE-SPRING-02,8,8.0,7.69
MP-20260714-LINE-SPRING-02-S2,2026-07-14,2,LINE-SPRING-02,8,8.0,7.73
MP-20260714-LINE-SPRING-02-S3,2026-07-14,3,LINE-SPRING-02,8,8.0,7.48
MP-20260714-LINE-COIL-01-S1,2026-07-14,1,LINE-COIL-01,12,8.0,7.84
MP-20260714-LINE-COIL-01-S2,2026-07-14,2,LINE-COIL-01,11,8.0,7.74
MP-20260714-LINE-COIL-01-S3,2026-07-14,3,LINE-COIL-01,12,8.0,7.55
MP-20260714-LINE-STABILIZER-01-S1,2026-07-14,1,LINE-STABILIZER-01,7,8.0,7.68
MP-20260714-LINE-STABILIZER-01-S2,2026-07-14,2,LINE-STABILIZER-01,8,8.0,7.68
MP-20260714-LINE-STABILIZER-01-S3,2026-07-14,3,LINE-STABILIZER-01,8,8.0,7.41
MP-20260715-LINE-SPRING-01-S1,2026-07-15,1,LINE-SPRING-01,11,8.0,7.86
MP-20260715-LINE-SPRING-01-S2,2026-07-15,2,LINE-SPRING-01,12,8.0,7.77
MP-20260715-LINE-SPRING-01-S3,2026-07-15,3,LINE-SPRING-01,11,8.0,7.24
MP-20260715-LINE-SPRING-02-S1,2026-07-15,1,LINE-SPRING-02,8,8.0,7.71
MP-20260715-LINE-SPRING-02-S2,2026-07-15,2,LINE-SPRING-02,8,8.0,7.68
MP-20260715-LINE-SPRING-02-S3,2026-07-15,3,LINE-SPRING-02,8,8.0,7.42
MP-20260715-LINE-COIL-01-S1,2026-07-15,1,LINE-COIL-01,12,8.0,7.62
MP-20260715-LINE-COIL-01-S2,2026-07-15,2,LINE-COIL-01,12,8.0,7.84
MP-20260715-LINE-COIL-01-S3,2026-07-15,3,LINE-COIL-01,12,8.0,7.34
MP-20260715-LINE-STABILIZER-01-S1,2026-07-15,1,LINE-STABILIZER-01,8,8.0,7.69
MP-20260715-LINE-STABILIZER-01-S2,2026-07-15,2,LINE-STABILIZER-01,8,8.0,7.68
MP-20260715-LINE-STABILIZER-01-S3,2026-07-15,3,LINE-STABILIZER-01,8,8.0,7.18
MP-20260716-LINE-SPRING-01-S1,2026-07-16,1,LINE-SPRING-01,12,8.0,7.9
MP-20260716-LINE-SPRING-01-S2,2026-07-16,2,LINE-SPRING-01,12,8.0,7.76
MP-20260716-LINE-SPRING-01-S3,2026-07-16,3,LINE-SPRING-01,11,8.0,7.14
MP-20260716-LINE-SPRING-02-S1,2026-07-16,1,LINE-SPRING-02,8,8.0,7.79
MP-20260716-LINE-SPRING-02-S2,2026-07-16,2,LINE-SPRING-02,8,8.0,7.62
MP-20260716-LINE-SPRING-02-S3,2026-07-16,3,LINE-SPRING-02,6,8.0,7.41
MP-20260716-LINE-COIL-01-S1,2026-07-16,1,LINE-COIL-01,12,8.0,7.8
MP-20260716-LINE-COIL-01-S2,2026-07-16,2,LINE-COIL-01,12,8.0,7.77
MP-20260716-LINE-COIL-01-S3,2026-07-16,3,LINE-COIL-01,11,8.0,7.39
MP-20260716-LINE-STABILIZER-01-S1,2026-07-16,1,LINE-STABILIZER-01,8,8.0,7.88
MP-20260716-LINE-STABILIZER-01-S2,2026-07-16,2,LINE-STABILIZER-01,7,8.0,7.63
MP-20260716-LINE-STABILIZER-01-S3,2026-07-16,3,LINE-STABILIZER-01,8,8.0,7.17
MP-20260717-LINE-SPRING-01-S1,2026-07-17,1,LINE-SPRING-01,12,8.0,7.86
MP-20260717-LINE-SPRING-01-S2,2026-07-17,2,LINE-SPRING-01,12,8.0,7.62
MP-20260717-LINE-SPRING-01-S3,2026-07-17,3,LINE-SPRING-01,10,8.0,7.48
MP-20260717-LINE-SPRING-02-S1,2026-07-17,1,LINE-SPRING-02,7,8.0,7.63
MP-20260717-LINE-SPRING-02-S2,2026-07-17,2,LINE-SPRING-02,7,8.0,7.76
MP-20260717-LINE-SPRING-02-S3,2026-07-17,3,LINE-SPRING-02,6,8.0,7.28
MP-20260717-LINE-COIL-01-S1,2026-07-17,1,LINE-COIL-01,11,8.0,7.89
MP-20260717-LINE-COIL-01-S2,2026-07-17,2,LINE-COIL-01,11,8.0,7.84
MP-20260717-LINE-COIL-01-S3,2026-07-17,3,LINE-COIL-01,12,8.0,7.39
MP-20260717-LINE-STABILIZER-01-S1,2026-07-17,1,LINE-STABILIZER-01,7,8.0,7.83
MP-20260717-LINE-STABILIZER-01-S2,2026-07-17,2,LINE-STABILIZER-01,8,8.0,7.86
MP-20260717-LINE-STABILIZER-01-S3,2026-07-17,3,LINE-STABILIZER-01,7,8.0,7.26
MP-20260718-LINE-SPRING-01-S1,2026-07-18,1,LINE-SPRING-01,12,8.0,7.65
MP-20260718-LINE-SPRING-01-S2,2026-07-18,2,LINE-SPRING-01,12,8.0,7.74
MP-20260718-LINE-SPRING-01-S3,2026-07-18,3,LINE-SPRING-01,12,8.0,7.28
MP-20260718-LINE-SPRING-02-S1,2026-07-18,1,LINE-SPRING-02,7,8.0,7.63
MP-20260718-LINE-SPRING-02-S2,2026-07-18,2,LINE-SPRING-02,7,8.0,7.9
MP-20260718-LINE-SPRING-02-S3,2026-07-18,3,LINE-SPRING-02,8,8.0,7.22
MP-20260718-LINE-COIL-01-S1,2026-07-18,1,LINE-COIL-01,12,8.0,7.63
MP-20260718-LINE-COIL-01-S2,2026-07-18,2,LINE-COIL-01,12,8.0,7.62
MP-20260718-LINE-COIL-01-S3,2026-07-18,3,LINE-COIL-01,12,8.0,7.21
MP-20260718-LINE-STABILIZER-01-S1,2026-07-18,1,LINE-STABILIZER-01,8,8.0,7.77
MP-20260718-LINE-STABILIZER-01-S2,2026-07-18,2,LINE-STABILIZER-01,8,8.0,7.74
MP-20260718-LINE-STABILIZER-01-S3,2026-07-18,3,LINE-STABILIZER-01,7,8.0,7.11
MP-20260719-LINE-SPRING-01-S1,2026-07-19,1,LINE-SPRING-01,11,8.0,7.72
MP-20260719-LINE-SPRING-01-S2,2026-07-19,2,LINE-SPRING-01,12,8.0,7.85
MP-20260719-LINE-SPRING-01-S3,2026-07-19,3,LINE-SPRING-01,12,8.0,7.21
MP-20260719-LINE-SPRING-02-S1,2026-07-19,1,LINE-SPRING-02,8,8.0,7.82
MP-20260719-LINE-SPRING-02-S2,2026-07-19,2,LINE-SPRING-02,8,8.0,7.66
MP-20260719-LINE-SPRING-02-S3,2026-07-19,3,LINE-SPRING-02,6,8.0,7.13
MP-20260719-LINE-COIL-01-S1,2026-07-19,1,LINE-COIL-01,12,8.0,7.76
MP-20260719-LINE-COIL-01-S2,2026-07-19,2,LINE-COIL-01,11,8.0,7.68
MP-20260719-LINE-COIL-01-S3,2026-07-19,3,LINE-COIL-01,12,8.0,7.3
MP-20260719-LINE-STABILIZER-01-S1,2026-07-19,1,LINE-STABILIZER-01,7,8.0,7.77
MP-20260719-LINE-STABILIZER-01-S2,2026-07-19,2,LINE-STABILIZER-01,8,8.0,7.67
MP-20260719-LINE-STABILIZER-01-S3,2026-07-19,3,LINE-STABILIZER-01,8,8.0,7.5
MP-20260720-LINE-SPRING-01-S1,2026-07-20,1,LINE-SPRING-01,12,8.0,7.67
MP-20260720-LINE-SPRING-01-S2,2026-07-20,2,LINE-SPRING-01,11,8.0,7.77
MP-20260720-LINE-SPRING-01-S3,2026-07-20,3,LINE-SPRING-01,11,8.0,7.23
MP-20260720-LINE-SPRING-02-S1,2026-07-20,1,LINE-SPRING-02,7,8.0,7.64
MP-20260720-LINE-SPRING-02-S2,2026-07-20,2,LINE-SPRING-02,8,8.0,7.81
MP-20260720-LINE-SPRING-02-S3,2026-07-20,3,LINE-SPRING-02,8,8.0,7.14
MP-20260720-LINE-COIL-01-S1,2026-07-20,1,LINE-COIL-01,12,8.0,7.69
MP-20260720-LINE-COIL-01-S2,2026-07-20,2,LINE-COIL-01,11,8.0,7.78
MP-20260720-LINE-COIL-01-S3,2026-07-20,3,LINE-COIL-01,12,8.0,7.21
MP-20260720-LINE-STABILIZER-01-S1,2026-07-20,1,LINE-STABILIZER-01,8,8.0,7.66
MP-20260720-LINE-STABILIZER-01-S2,2026-07-20,2,LINE-STABILIZER-01,8,8.0,7.61
MP-20260720-LINE-STABILIZER-01-S3,2026-07-20,3,LINE-STABILIZER-01,6,8.0,7.17
MP-20260721-LINE-SPRING-01-S1,2026-07-21,1,LINE-SPRING-01,12,8.0,7.82
MP-20260721-LINE-SPRING-01-S2,2026-07-21,2,LINE-SPRING-01,12,8.0,7.86
MP-20260721-LINE-SPRING-01-S3,2026-07-21,3,LINE-SPRING-01,12,8.0,7.53
MP-20260721-LINE-SPRING-02-S1,2026-07-21,1,LINE-SPRING-02,8,8.0,7.82
MP-20260721-LINE-SPRING-02-S2,2026-07-21,2,LINE-SPRING-02,8,8.0,7.88
MP-20260721-LINE-SPRING-02-S3,2026-07-21,3,LINE-SPRING-02,8,8.0,7.24
MP-20260721-LINE-COIL-01-S1,2026-07-21,1,LINE-COIL-01,11,8.0,7.73
MP-20260721-LINE-COIL-01-S2,2026-07-21,2,LINE-COIL-01,11,8.0,7.75
MP-20260721-LINE-COIL-01-S3,2026-07-21,3,LINE-COIL-01,10,8.0,7.23
MP-20260721-LINE-STABILIZER-01-S1,2026-07-21,1,LINE-STABILIZER-01,8,8.0,7.76
MP-20260721-LINE-STABILIZER-01-S2,2026-07-21,2,LINE-STABILIZER-01,7,8.0,7.72
MP-20260721-LINE-STABILIZER-01-S3,2026-07-21,3,LINE-STABILIZER-01,8,8.0,7.53
MP-20260722-LINE-SPRING-01-S1,2026-07-22,1,LINE-SPRING-01,12,8.0,7.7
MP-20260722-LINE-SPRING-01-S2,2026-07-22,2,LINE-SPRING-01,11,8.0,7.84
MP-20260722-LINE-SPRING-01-S3,2026-07-22,3,LINE-SPRING-01,12,8.0,7.57
MP-20260722-LINE-SPRING-02-S1,2026-07-22,1,LINE-SPRING-02,8,8.0,7.64
MP-20260722-LINE-SPRING-02-S2,2026-07-22,2,LINE-SPRING-02,8,8.0,7.89
MP-20260722-LINE-SPRING-02-S3,2026-07-22,3,LINE-SPRING-02,8,8.0,7.15
MP-20260722-LINE-COIL-01-S1,2026-07-22,1,LINE-COIL-01,12,8.0,7.75
MP-20260722-LINE-COIL-01-S2,2026-07-22,2,LINE-COIL-01,12,8.0,7.86
MP-20260722-LINE-COIL-01-S3,2026-07-22,3,LINE-COIL-01,12,8.0,7.21
MP-20260722-LINE-STABILIZER-01-S1,2026-07-22,1,LINE-STABILIZER-01,8,8.0,7.84
MP-20260722-LINE-STABILIZER-01-S2,2026-07-22,2,LINE-STABILIZER-01,8,8.0,7.77
MP-20260722-LINE-STABILIZER-01-S3,2026-07-22,3,LINE-STABILIZER-01,7,8.0,7.26
MP-20260723-LINE-SPRING-01-S1,2026-07-23,1,LINE-SPRING-01,12,8.0,7.9
MP-20260723-LINE-SPRING-01-S2,2026-07-23,2,LINE-SPRING-01,12,8.0,7.74
MP-20260723-LINE-SPRING-01-S3,2026-07-23,3,LINE-SPRING-01,11,8.0,7.26
MP-20260723-LINE-SPRING-02-S1,2026-07-23,1,LINE-SPRING-02,8,8.0,7.78
MP-20260723-LINE-SPRING-02-S2,2026-07-23,2,LINE-SPRING-02,8,8.0,7.69
MP-20260723-LINE-SPRING-02-S3,2026-07-23,3,LINE-SPRING-02,8,8.0,7.22
